;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201201;Enero de 2012;1;Andalucía;4;Almería;37697;22686;10742;2352;1917
201201;Enero de 2012;1;Andalucía;11;Cádiz;79781;44941;23167;6864;4809
201201;Enero de 2012;1;Andalucía;14;Córdoba;49719;25322;12673;2334;9390
201201;Enero de 2012;1;Andalucía;18;Granada;54890;30217;15261;2754;6658
201201;Enero de 2012;1;Andalucía;21;Huelva;39462;23112;10242;1698;4410
201201;Enero de 2012;1;Andalucía;23;Jaén;34608;17189;8376;1656;7387
201201;Enero de 2012;1;Andalucía;29;Málaga;101359;63544;27375;5777;4663
201201;Enero de 2012;1;Andalucía;41;Sevilla;125285;70712;33745;6367;14461
201201;Enero de 2012;2;Aragón;22;Huesca;10645;8731;1727;187;0
201201;Enero de 2012;2;Aragón;44;Teruel;6806;5268;1422;116;0
201201;Enero de 2012;2;Aragón;50;Zaragoza;53342;43412;8658;1272;0
201201;Enero de 2012;3;Asturias, Principado de;33;Asturias;57420;42957;12943;1520;0
201201;Enero de 2012;4;Balears, Illes;7;Balears, Illes;103477;79108;23167;1202;0
201201;Enero de 2012;5;Canarias;35;Palmas, Las;66761;41133;20434;5194;0
201201;Enero de 2012;5;Canarias;38;Santa Cruz de Tenerife;60799;37585;19447;3767;0
201201;Enero de 2012;6;Cantabria;39;Cantabria;30869;24333;5724;812;0
201201;Enero de 2012;7;Castilla y León;5;Ávila;8589;6148;2092;349;0
201201;Enero de 2012;7;Castilla y León;9;Burgos;20047;16054;3606;387;0
201201;Enero de 2012;7;Castilla y León;24;León;25326;19316;5397;613;0
201201;Enero de 2012;7;Castilla y León;34;Palencia;7832;5995;1610;227;0
201201;Enero de 2012;7;Castilla y León;37;Salamanca;16323;11860;3799;664;0
201201;Enero de 2012;7;Castilla y León;40;Segovia;6991;5661;1205;125;0
201201;Enero de 2012;7;Castilla y León;42;Soria;4338;3521;722;95;0
201201;Enero de 2012;7;Castilla y León;47;Valladolid;25461;20038;4607;816;0
201201;Enero de 2012;7;Castilla y León;49;Zamora;8722;6449;2008;265;0
201201;Enero de 2012;8;Castilla - La Mancha;2;Albacete;24449;17317;5936;1196;0
201201;Enero de 2012;8;Castilla - La Mancha;13;Ciudad Real;29562;21051;7303;1208;0
201201;Enero de 2012;8;Castilla - La Mancha;16;Cuenca;10406;7496;2546;364;0
201201;Enero de 2012;8;Castilla - La Mancha;19;Guadalajara;14888;11661;2946;281;0
201201;Enero de 2012;8;Castilla - La Mancha;45;Toledo;42039;30781;9864;1394;0
201201;Enero de 2012;9;Cataluña;8;Barcelona;343852;270999;66562;6291;0
201201;Enero de 2012;9;Cataluña;17;Girona;50226;38341;11165;720;0
201201;Enero de 2012;9;Cataluña;25;Lleida;22731;18056;4289;386;0
201201;Enero de 2012;9;Cataluña;43;Tarragona;56118;42824;11970;1324;0
201201;Enero de 2012;10;Comunitat Valenciana;3;Alicante/Alacant;99968;65047;28501;6420;0
201201;Enero de 2012;10;Comunitat Valenciana;12;Castellón/Castelló;36199;26989;8284;926;0
201201;Enero de 2012;10;Comunitat Valenciana;46;Valencia/Valéncia;147795;109736;32576;5483;0
201201;Enero de 2012;11;Extremadura;6;Badajoz;47319;24986;14325;2628;5380
201201;Enero de 2012;11;Extremadura;10;Cáceres;27904;16022;7587;943;3352
201201;Enero de 2012;12;Galicia;15;Coruña, A;61597;47210;12525;1862;0
201201;Enero de 2012;12;Galicia;27;Lugo;15186;11464;3288;434;0
201201;Enero de 2012;12;Galicia;32;Ourense;15564;10629;4298;637;0
201201;Enero de 2012;12;Galicia;36;Pontevedra;59094;43835;13258;2001;0
201201;Enero de 2012;13;Madrid, Comunidad de;28;Madrid;320962;263684;51462;5816;0
201201;Enero de 2012;14;Murcia, Región de;30;Murcia;79504;57644;18053;3807;0
201201;Enero de 2012;15;Navarra, Comunidad Foral de;31;Navarra;36159;29636;5986;537;0
201201;Enero de 2012;16;País Vasco;1;Araba/Álava;15515;12884;2506;125;0
201201;Enero de 2012;16;País Vasco;20;Gipuzkoa;33356;27825;5185;346;0
201201;Enero de 2012;16;País Vasco;48;Bizkaia;55734;46694;8446;594;0
201201;Enero de 2012;17;Rioja, La;26;Rioja, La;17119;13945;2817;357;0
201201;Enero de 2012;18;Ceuta;51;Ceuta;3490;1671;1579;240;0
201201;Enero de 2012;19;Melilla;52;Melilla;2746;1390;1052;304;0
201202;Febrero de 2012;1;Andalucía;4;Almería;37287;22219;10841;2434;1793
201202;Febrero de 2012;1;Andalucía;11;Cádiz;78485;43745;23270;7021;4449
201202;Febrero de 2012;1;Andalucía;14;Córdoba;50805;26600;13120;2413;8672
201202;Febrero de 2012;1;Andalucía;18;Granada;55809;30962;15717;2838;6292
201202;Febrero de 2012;1;Andalucía;21;Huelva;36396;20561;9923;1744;4168
201202;Febrero de 2012;1;Andalucía;23;Jaén;40682;22507;10075;1807;6293
