;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201002;Febrero de 2010;7;Castilla y León;37;Salamanca;16045;11665;3936;444;0
201002;Febrero de 2010;7;Castilla y León;40;Segovia;6819;5610;1169;40;0
201002;Febrero de 2010;7;Castilla y León;42;Soria;3712;2993;688;31;0
201002;Febrero de 2010;7;Castilla y León;47;Valladolid;26852;21808;4557;487;0
201002;Febrero de 2010;7;Castilla y León;49;Zamora;8218;6176;1876;166;0
201002;Febrero de 2010;8;Castilla - La Mancha;2;Albacete;23432;16654;6130;648;0
201002;Febrero de 2010;8;Castilla - La Mancha;13;Ciudad Real;28519;20167;7815;537;0
201002;Febrero de 2010;8;Castilla - La Mancha;16;Cuenca;9872;7180;2527;165;0
201002;Febrero de 2010;8;Castilla - La Mancha;19;Guadalajara;15644;12769;2799;76;0
201002;Febrero de 2010;8;Castilla - La Mancha;45;Toledo;43345;33658;9174;513;0
201002;Febrero de 2010;9;Cataluña;8;Barcelona;385395;317930;65518;1947;0
201002;Febrero de 2010;9;Cataluña;17;Girona;52931;41186;11547;198;0
201002;Febrero de 2010;9;Cataluña;25;Lleida;22090;17665;4307;118;0
201002;Febrero de 2010;9;Cataluña;43;Tarragona;58273;45562;12329;382;0
201002;Febrero de 2010;10;Comunitat Valenciana;3;Alicante/Alacant;120237;85033;31651;3553;0
201002;Febrero de 2010;10;Comunitat Valenciana;12;Castellón/Castelló;51146;42304;8654;188;0
201002;Febrero de 2010;10;Comunitat Valenciana;46;Valencia/Valéncia;169034;133236;33643;2155;0
201002;Febrero de 2010;11;Extremadura;6;Badajoz;44391;23334;13709;2056;5292
201002;Febrero de 2010;11;Extremadura;10;Cáceres;25255;14572;6651;533;3499
201002;Febrero de 2010;12;Galicia;15;Coruña, A;56040;41495;13355;1190;0
201002;Febrero de 2010;12;Galicia;27;Lugo;13570;9951;3330;289;0
201002;Febrero de 2010;12;Galicia;32;Ourense;14843;9970;4443;430;0
201002;Febrero de 2010;12;Galicia;36;Pontevedra;55537;40939;13511;1087;0
201002;Febrero de 2010;13;Madrid, Comunidad de;28;Madrid;356098;299116;54735;2247;0
201002;Febrero de 2010;14;Murcia, Región de;30;Murcia;91959;69834;20624;1501;0
201002;Febrero de 2010;15;Navarra, Comunidad Foral de;31;Navarra;36699;30136;6356;207;0
201002;Febrero de 2010;16;País Vasco;1;Araba/Álava;17902;15344;2505;53;0
201002;Febrero de 2010;16;País Vasco;20;Gipuzkoa;38171;32697;5275;199;0
201002;Febrero de 2010;16;País Vasco;48;Bizkaia;56607;47677;8594;336;0
201002;Febrero de 2010;17;Rioja, La;26;Rioja, La;17580;14333;3115;132;0
201002;Febrero de 2010;18;Ceuta;51;Ceuta;3298;1619;1566;113;0
201002;Febrero de 2010;19;Melilla;52;Melilla;2738;1374;1213;151;0
201003;Marzo de 2010;1;Andalucía;4;Almería;44268;27235;14031;1057;1945
201003;Marzo de 2010;1;Andalucía;11;Cádiz;85738;48811;27412;4961;4554
201003;Marzo de 2010;1;Andalucía;14;Córdoba;51714;27586;13818;1526;8784
201003;Marzo de 2010;1;Andalucía;18;Granada;61134;35378;17514;1448;6794
201003;Marzo de 2010;1;Andalucía;21;Huelva;37204;21779;10357;882;4186
201003;Marzo de 2010;1;Andalucía;23;Jaén;36468;20634;8851;1132;5851
201003;Marzo de 2010;1;Andalucía;29;Málaga;109223;71111;30194;2955;4963
201003;Marzo de 2010;1;Andalucía;41;Sevilla;133949;77335;37391;4103;15120
201003;Marzo de 2010;2;Aragón;22;Huesca;10002;8080;1855;67;0
201003;Marzo de 2010;2;Aragón;44;Teruel;6299;4801;1456;42;0
201003;Marzo de 2010;2;Aragón;50;Zaragoza;54909;44119;10279;511;0
201003;Marzo de 2010;3;Asturias, Principado de;33;Asturias;53479;38910;13823;746;0
201003;Marzo de 2010;4;Balears, Illes;7;Balears, Illes;78362;55674;22160;528;0
201003;Marzo de 2010;5;Canarias;35;Palmas, Las;77072;48443;25547;3082;0
201003;Marzo de 2010;5;Canarias;38;Santa Cruz de Tenerife;68769;45214;21737;1818;0
201003;Marzo de 2010;6;Cantabria;39;Cantabria;29738;23177;6143;418;0
201003;Marzo de 2010;7;Castilla y León;5;Ávila;8606;6221;2242;143;0
201003;Marzo de 2010;7;Castilla y León;9;Burgos;18965;15218;3545;202;0
201003;Marzo de 2010;7;Castilla y León;24;León;24297;18491;5429;377;0
201003;Marzo de 2010;7;Castilla y León;34;Palencia;7273;5511;1598;164;0
201003;Marzo de 2010;7;Castilla y León;37;Salamanca;16042;11497;4093;452;0
201003;Marzo de 2010;7;Castilla y León;40;Segovia;6561;5304;1216;41;0
201003;Marzo de 2010;7;Castilla y León;42;Soria;3591;2835;724;32;0
