;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201801;Enero de 2018;1;Andalucía;4;Almería;25016,16;14295,71;7265,02;1563,23;1277,85
201801;Enero de 2018;1;Andalucía;11;Cádiz;54935,13;27965,83;17245,97;4268,1;3650,78
201801;Enero de 2018;1;Andalucía;14;Córdoba;34672,81;12707,01;11276,5;1854,72;8010,63
201801;Enero de 2018;1;Andalucía;18;Granada;38985,39;18012,38;12650,24;2286,27;5086
201801;Enero de 2018;1;Andalucía;21;Huelva;28593,77;15122,69;8132,92;1410,7;3411,91
201801;Enero de 2018;1;Andalucía;23;Jaén;24414,81;8699,17;7700,52;1285,81;6262,2
201801;Enero de 2018;1;Andalucía;29;Málaga;67271,46;40838,84;17791,98;3833,2;3448,51
201801;Enero de 2018;1;Andalucía;41;Sevilla;83481,5;37185,98;26718,97;5534,43;11602,06
201801;Enero de 2018;2;Aragón;22;Huesca;5752,25;4566,67;976,37;161,13;0
201801;Enero de 2018;2;Aragón;44;Teruel;3428,85;2578,7;702,45;116,2;0
201801;Enero de 2018;2;Aragón;50;Zaragoza;24591,6;18966,55;4527,67;924,83;0
201801;Enero de 2018;3;Asturias, Principado de;33;Asturias;29490,1;21093,97;6734,23;1470,53;0
201801;Enero de 2018;4;Balears, Illes;7;Balears, Illes;93575,61;77262,73;15501,82;727,94;0
201801;Enero de 2018;5;Canarias;35;Palmas, Las;41379,14;26412,22;10652,71;3209,53;0
201801;Enero de 2018;5;Canarias;38;Santa Cruz de Tenerife;37230,34;21855,76;11261,13;3100,24;0
201801;Enero de 2018;6;Cantabria;39;Cantabria;18235,86;13311,65;4072,9;733,17;0
201801;Enero de 2018;7;Castilla y León;5;Ávila;4941,22;3214,74;1353,18;284,59;0
201801;Enero de 2018;7;Castilla y León;9;Burgos;10024,51;7240,58;2331,22;369,92;0
201801;Enero de 2018;7;Castilla y León;24;León;13701,93;9618,96;3279,87;631,09;0
201801;Enero de 2018;7;Castilla y León;34;Palencia;4840,39;3518,18;1107,91;173,65;0
201801;Enero de 2018;7;Castilla y León;37;Salamanca;9720,73;6387,56;2663,92;507,25;0
201801;Enero de 2018;7;Castilla y León;40;Segovia;3790,17;2790,05;850,71;125,77;0
201801;Enero de 2018;7;Castilla y León;42;Soria;2277,03;1749,71;445,25;63,7;0
201801;Enero de 2018;7;Castilla y León;47;Valladolid;14064,02;10599,8;2710,8;590,25;0
201801;Enero de 2018;7;Castilla y León;49;Zamora;5185,42;3343,13;1476,32;291,36;0
201801;Enero de 2018;8;Castilla - La Mancha;2;Albacete;13419,68;8102,15;4065,68;954,75;0
201801;Enero de 2018;8;Castilla - La Mancha;13;Ciudad Real;16719,32;9013,19;5635,02;1504,95;0
201801;Enero de 2018;8;Castilla - La Mancha;16;Cuenca;5501,79;3374,44;1615,17;373,09;0
201801;Enero de 2018;8;Castilla - La Mancha;19;Guadalajara;7973,39;5835,72;1790,32;283,63;0
201801;Enero de 2018;8;Castilla - La Mancha;45;Toledo;22448,25;13096,56;7149,42;1612,84;0
201801;Enero de 2018;9;Cataluña;8;Barcelona;168112,24;127229,48;34137,72;5472,13;0
201801;Enero de 2018;9;Cataluña;17;Girona;31101,44;23483,73;6631,08;801,2;0
201801;Enero de 2018;9;Cataluña;25;Lleida;12427,95;9283,21;2566,51;450,97;0
201801;Enero de 2018;9;Cataluña;43;Tarragona;32838,09;24013,44;7403,47;1113,47;0
201801;Enero de 2018;10;Comunitat Valenciana;3;Alicante/Alacant;61149,88;38682,72;16980,61;4162,23;0
201801;Enero de 2018;10;Comunitat Valenciana;12;Castellón/Castelló;17923,69;12148,2;4555,99;969,51;0
201801;Enero de 2018;10;Comunitat Valenciana;46;Valencia/Valéncia;76123,63;49270,54;19931,81;5371,85;0
201801;Enero de 2018;11;Extremadura;6;Badajoz;33185,3;14359,53;11900,39;2020,9;4210,48
201801;Enero de 2018;11;Extremadura;10;Cáceres;19207;8978,34;6542,12;909,11;2546,4
201801;Enero de 2018;12;Galicia;15;Coruña, A;34869,1;25190,2;7818,77;1508,97;0
201801;Enero de 2018;12;Galicia;27;Lugo;8551,86;5848,51;2187,47;409,32;0
201801;Enero de 2018;12;Galicia;32;Ourense;8361,23;5199,79;2607,98;444,21;0
201801;Enero de 2018;12;Galicia;36;Pontevedra;31753,64;21053,84;8639,61;1612,55;0
201801;Enero de 2018;13;Madrid, Comunidad de;28;Madrid;182710,12;146169,36;29084,91;6195,74;0
201801;Enero de 2018;14;Murcia, Región de;30;Murcia;48055,77;33511,4;10202,86;3134,87;0
201801;Enero de 2018;15;Navarra, Comunidad Foral de;31;Navarra;17916,48;14335,65;3121,67;418,03;0
201801;Enero de 2018;16;País Vasco;1;Araba/Álava;8136,22;6661,72;1287,98;174,24;0
201801;Enero de 2018;16;País Vasco;20;Gipuzkoa;17109,92;14274,57;2527,41;291,45;0
201801;Enero de 2018;16;País Vasco;48;Bizkaia;28596,06;23142,91;4741,75;653,7;0
201801;Enero de 2018;17;Rioja, La;26;Rioja, La;8831,9;6780,39;1667,1;315,26;0
201801;Enero de 2018;18;Ceuta;51;Ceuta;2474,76;1045,86;917,91;294,81;0
201801;Enero de 2018;19;Melilla;52;Melilla;1864,11;884,56;624,37;215,29;0
201802;Febrero de 2018;1;Andalucía;4;Almería;23948,68;13482,5;7100,32;1554,89;1195,25
201802;Febrero de 2018;1;Andalucía;11;Cádiz;51501,27;25228,03;16858,25;4243,46;3455,72
201802;Febrero de 2018;1;Andalucía;14;Córdoba;33417,52;12686,16;10734,37;1849,41;7352,72
201802;Febrero de 2018;1;Andalucía;18;Granada;38435,48;17773,35;12523,03;2312,87;4903,97
201802;Febrero de 2018;1;Andalucía;21;Huelva;25312,07;12472,49;7713,09;1364,79;3252,15
201802;Febrero de 2018;1;Andalucía;23;Jaén;25455,35;10535,41;7509,59;1377,14;5543,04
201802;Febrero de 2018;1;Andalucía;29;Málaga;64065,42;37984,35;17531,03;3832,79;3434,32
201802;Febrero de 2018;1;Andalucía;41;Sevilla;82789,39;36521,96;26720,76;5578,87;11602,69
201802;Febrero de 2018;2;Aragón;22;Huesca;5489,25;4327,38;949,16;164,99;0
201802;Febrero de 2018;2;Aragón;44;Teruel;3135,37;2299,12;691,15;112,2;0
201802;Febrero de 2018;2;Aragón;50;Zaragoza;24422,02;18775,92;4556,38;913,16;0
201802;Febrero de 2018;3;Asturias, Principado de;33;Asturias;28982,04;20815,41;6545,69;1425,87;0
201802;Febrero de 2018;4;Balears, Illes;7;Balears, Illes;77925,95;62820,34;14303,78;716,15;0
201802;Febrero de 2018;5;Canarias;35;Palmas, Las;41379,03;26548,91;10626,93;3161,14;0
201802;Febrero de 2018;5;Canarias;38;Santa Cruz de Tenerife;37333,98;21944,86;11363,19;3060,99;0
201802;Febrero de 2018;6;Cantabria;39;Cantabria;18655,97;13474,34;4320,71;741,63;0
201802;Febrero de 2018;7;Castilla y León;5;Ávila;4527,55;2804,08;1357,07;277,75;0
201802;Febrero de 2018;7;Castilla y León;9;Burgos;9596,18;6838,25;2307,75;370,48;0
201802;Febrero de 2018;7;Castilla y León;24;León;13399,41;9386,57;3219,96;622,47;0
201802;Febrero de 2018;7;Castilla y León;34;Palencia;4543,66;3261,27;1071,69;174,43;0
