node_name_voltage,pss_number,substation_code,electrical_system,autonomous_community,possible_connection_transport,possible_connection_distribution,possible_connection_overall,wscr_nodal_capacity_mw,wscr_nodal_margin_mw,wscr_limiting_criterion,static_generation_nodal_capacity_mw,static_generation_zone,static_generation_nodal_margin_mw,static_generation_zonal_margin_mw,static_generation_limiting_scope,static_storage_nodal_capacity_mw,static_storage_zone,static_storage_nodal_margin_mw,static_storage_zonal_margin_mw,static_storage_limiting_scope
ARGANDA 220,24014,50050,SEPE,Comunidad de Madrid,SI,SI,SI,794,441,WSCR_Nudo,565,E215_SEPE,201,-204,Est_Gen_Zona,614,E215_SEPE,206,4,Est_Alm_Zona
ARGANZUELA 220,24063,50051,SEPE,Comunidad de Madrid,NO,SI,SI,912,912,WSCR_Nudo,720,E199_SEPE,720,1341,Est_Gen_Nudo,785,E199_SEPE,785,1449,Est_Alm_Nudo
ARGUINEGUIN 66,39010,50052,SEC,Canarias,NO,SI,SI,30,10,WSCR_Nudo,65,E07_SEC,33,68,Est_Gen_Nudo,67,E07_SEC,33,68,Est_Alm_Nudo
ARICO2 66,39221,50053,SEC,Canarias,SI,SI,SI,54,-18,WSCR_Nudo,143,E10_SEC,59,-38,Est_Gen_Zona,218,E10_SEC,135,-21,Est_Alm_Zona
ARINAGA 66,39015,50706,SEC,Canarias,SI,SI,SI,62,16,WSCR_Nudo,221,E08_SEC,175,-31,Est_Gen_Zona,229,E08_SEC,183,-20,Est_Alm_Zona
ARKALE 220,22025,50054,SEPE,País Vasco,NO,SI,SI,226,226,WSCR_Nudo,1152,E10_SEPE,849,841,Est_Gen_Zona,1152,E10_SEPE,849,942,Est_Alm_Nudo
ARONA 66,39225,50055,SEC,Canarias,NO,SI,SI,91,58,WSCR_Nudo,156,N/A,122,N/A,Est_Gen_Nudo,168,N/A,122,N/A,Est_Alm_Nudo
ARRIGORRIAGA 400,12002,51448,SEPE,País Vasco,NO,NO,NO,537,537,WSCR_Nudo,2495,N/A,2495,N/A,Est_Gen_Nudo,2705,N/A,2705,N/A,Est_Alm_Nudo
ARROYO DE LA VEGA 220,24017,50056,SEPE,Comunidad de Madrid,SI,SI,SI,857,605,WSCR_Nudo,837,N/A,586,N/A,Est_Gen_Nudo,864,N/A,612,N/A,Est_Alm_Nudo
ARROYO VALLE 220,25002,50057,SEPE,Andalucía,NO,NO,NO,193,193,WSCR_Nudo,471,E191_SEPE,471,920,Est_Gen_Nudo,498,E191_SEPE,498,1785,Est_Alm_Nudo
ARTA 66,39740,50058,SEB,Islas Baleares,NO,SI,SI,15,0,WSCR_Nudo,100,E15_SEB,74,53,Est_Gen_Zona,113,E15_SEB,84,61,Est_Alm_Zona
ARUCAS 66,39020,50059,SEC,Canarias,NO,SI,SI,70,70,WSCR_Nudo,141,N/A,140,N/A,Est_Gen_Nudo,145,N/A,144,N/A,Est_Alm_Nudo
ASCÓ 400,13005,50060,SEPE,Cataluña,SI,SI,SI,1037,488,WSCR_Nudo,3878,N/A,1229,N/A,Est_Gen_Nudo,4946,N/A,2297,N/A,Est_Alm_Nudo
ASCÓ 220,23005,50060,SEPE,Cataluña,NO,SI,SI,28,28,WSCR_Nudo,348,N/A,348,N/A,Est_Gen_Nudo,390,N/A,390,N/A,Est_Alm_Nudo
ASOMADA 400,14005,50061,SEPE,Región de Murcia,NO,SI,SI,704,689,WSCR_Nudo,1937,N/A,1111,N/A,Est_Gen_Nudo,2226,N/A,1401,N/A,Est_Alm_Nudo
ASTILLERO 220,21015,50062,SEPE,Cantabria,SI,SI,SI,253,21,WSCR_Nudo,1192,E228_SEPE,336,452,Est_Gen_Nudo,1227,E228_SEPE,336,452,Est_Alm_Nudo
ATARFE 220,25025,50063,SEPE,Andalucía,SI,SI,SI,552,357,WSCR_Nudo,757,N/A,391,N/A,Est_Gen_Nudo,834,N/A,468,N/A,Est_Alm_Nudo
ATIOS 220,21003,50064,SEPE,Galicia,SI,SI,SI,266,261,WSCR_Nudo,680,E280_SEPE,489,27,Est_Gen_Zona,699,E280_SEPE,489,27,Est_Alm_Zona
AVE ZARAGOZA 220,23176,50065,SEPE,Aragón,SI,NO,SI,383,-127,WSCR_Nudo,525,N/A,15,N/A,Est_Gen_Nudo,568,N/A,58,N/A,Est_Alm_Nudo
AYALA 220,22030,50066,SEPE,País Vasco,NO,SI,SI,424,424,WSCR_Nudo,655,N/A,598,N/A,Est_Gen_Nudo,715,N/A,635,N/A,Est_Alm_Nudo
AYORA 400,14008,50067,SEPE,Comunidad Valenciana,SI,NO,SI,1225,197,WSCR_Nudo,2689,N/A,1662,N/A,Est_Gen_Nudo,3177,N/A,2150,N/A,Est_Alm_Nudo
AZCA 220,24018,UFD-50078,SEPE,Comunidad de Madrid,NO,SI,SI,892,892,WSCR_Nudo,835,E216_SEPE,835,856,Est_Gen_Nudo,899,E216_SEPE,899,931,Est_Alm_Nudo
AZPEITIA 400,12018,50068,SEPE,País Vasco,NO,SI,SI,739,739,WSCR_Nudo,1853,N/A,1819,N/A,Est_Gen_Nudo,2018,N/A,1984,N/A,Est_Alm_Nudo
BADALONA 220,23010,50070,SEPE,Cataluña,NO,SI,SI,70,70,WSCR_Nudo,707,E32_SEPE,707,707,Est_Gen_Nudo/Est_Gen_Zona,719,E32_SEPE,719,719,Est_Alm_Nudo
BALBOA 400,15002,50071,SEPE,Extremadura,NO,NO,NO,570,570,WSCR_Nudo,2731,E110_SEPE,2731,2977,Est_Gen_Nudo,2812,E110_SEPE,2812,2990,Est_Alm_Nudo
BALBOA 220,25027,50071,SEPE,Extremadura,NO,SI,SI,166,125,WSCR_Nudo,1021,E110_SEPE,761,2977,Est_Gen_Nudo,1107,E110_SEPE,847,2990,Est_Alm_Nudo
BALSICAS 220,24111,50072,SEPE,Región de Murcia,SI,SI,SI,482,193,WSCR_Nudo,706,N/A,417,N/A,Est_Gen_Nudo,851,N/A,562,N/A,Est_Alm_Nudo
BARATARIA 400,14130,52078,SEPE,Castilla-La Mancha,SI,NO,SI,761,761,WSCR_Nudo,2630,E304_SEPE,2630,2516,Est_Gen_Zona,2937,E304_SEPE,2937,2696,Est_Alm_Zona
BARCINA 400,12020,50073,SEPE,Castilla y León,SI,NO,SI,1398,803,WSCR_Nudo,2226,E74_SEPE,1631,1631,Est_Gen_Nudo/Est_Gen_Zona,2590,E74_SEPE,1995,1995,Est_Alm_Nudo/Est_Alm_Zona
BARO DE VIVER 220,23301,50074,SEPE,Cataluña,NO,NO,NO,95,95,WSCR_Nudo,501,N/A,501,N/A,Est_Gen_Nudo,549,N/A,549,N/A,Est_Alm_Nudo
BARRANCO CALDERINA 66,39024,51454,SEC,Canarias,NO,NO,NO,45,45,WSCR_Nudo,237,N/A,237,N/A,Est_Gen_Nudo,246,N/A,246,N/A,Est_Alm_Nudo
BARRANCO DE TIRAJANA III 220,29175,50776,SEC,Canarias,SI,NO,SI,69,69,WSCR_Nudo,518,N/A,518,N/A,Est_Gen_Nudo,527,N/A,527,N/A,Est_Alm_Nudo
BARRANCO SECO 66,39025,50075,SEC,Canarias,NO,SI,SI,61,29,WSCR_Nudo,173,N/A,139,N/A,Est_Gen_Nudo,176,N/A,139,N/A,Est_Alm_Nudo
BARRANCO TIRAJANA 220,29165,50076,SEC,Canarias,SI,NO,SI,0,0,WSCR_Nudo/WSCR_Zona,460,"E01_SEC, E33_SEC_BIN",70,145,Est_Gen_Nudo,470,"E01_SEC, E33_SEC_BIN",79,159,Est_Alm_Nudo
BARRANCO TIRAJANA 66,39165,50076,SEC,Canarias,SI,NO,SI,0,0,WSCR_Nudo/WSCR_Zona,212,"E02_SEC, E34_SEC_BIN",212,428,Est_Gen_Nudo,234,"E02_SEC, E34_SEC_BIN",234,469,Est_Alm_Nudo
BARRANCO TIRAJANA (BARRANCO TIRAJANA B) 220,29170,50076,SEC,Canarias,SI,NO,SI,0,0,WSCR_Nudo/WSCR_Zona,733,"E02_SEC, E03_SEC, E33_SEC_BIN",733,389,Est_Gen_Zona,888,"E02_SEC, E03_SEC, E33_SEC_BIN",888,389,Est_Alm_Zona
BARRANCO TIRAJANA (BARRANCO TIRAJANA B) 66,79165,50076,SEC,Canarias,SI,NO,SI,0,0,WSCR_Nudo/WSCR_Zona,205,"E01_SEC, E03_SEC, E34_SEC_BIN",205,145,Est_Gen_Zona,247,"E01_SEC, E03_SEC, E34_SEC_BIN",247,159,Est_Alm_Zona
BARRUNDIA 220,22036,51418,SEPE,País Vasco,SI,SI,SI,183,110,WSCR_Nudo,250,E256_SEPE,200,-5,Est_Gen_Zona,366,E256_SEPE,293,-5,Est_Alm_Zona
BASAURI 220,22040,50077,SEPE,País Vasco,NO,SI,SI,631,631,WSCR_Nudo,794,N/A,340,N/A,Est_Gen_Nudo,864,N/A,340,N/A,Est_Alm_Nudo
BAZA 400,15014,52064,SEPE,Andalucía,SI,SI,SI,840,247,WSCR_Nudo,5438,N/A,4845,N/A,Est_Gen_Nudo,5438,N/A,4845,N/A,Est_Alm_Nudo
BEARIZ 400,11027,50708,SEPE,Galicia,SI,NO,SI,1162,653,WSCR_Nudo,2605,N/A,2146,N/A,Est_Gen_Nudo,2938,N/A,2429,N/A,Est_Alm_Nudo
BECHI 220,24019,50078,SEPE,Comunidad Valenciana,SI,SI,SI,405,126,WSCR_Nudo,589,E183_SEPE,382,74,Est_Gen_Zona,661,E183_SEPE,382,74,Est_Alm_Zona
BEGOÑA 220,24146,52082,SEPE,Comunidad de Madrid,NO,SI,SI,164,164,WSCR_Nudo,543,E276_SEPE,543,1221,Est_Gen_Nudo,547,E276_SEPE,547,1370,Est_Alm_Nudo
BEGUES 400,13010,50079,SEPE,Cataluña,SI,NO,SI,1337,763,WSCR_Nudo,1013,"E84_SEPE, E85_SEPE",648,613,Est_Gen_Zona,1222,"E84_SEPE, E85_SEPE",648,613,Est_Alm_Zona
BEGUES 220,23030,50079,SEPE,Cataluña,NO,SI,SI,701,666,WSCR_Nudo,529,"E150_SEPE_Bin, E84_SEPE",529,613,Est_Gen_Nudo,642,"E150_SEPE_Bin, E84_SEPE",607,613,Est_Alm_Nudo
BEGUES (BEGUES B) 220,63030,50079,SEPE,Cataluña,NO,NO,NO,733,733,WSCR_Nudo,1574,"E150_SEPE_Bin, E85_SEPE",1574,1695,Est_Gen_Nudo,1655,"E150_SEPE_Bin, E85_SEPE",1655,1945,Est_Alm_Nudo
BELESAR 220,21020,50080,SEPE,Galicia,SI,SI,SI,620,228,WSCR_Nudo,695,N/A,0,N/A,Est_Gen_Nudo,808,N/A,0,N/A,Est_Alm_Nudo
BELGIDA 220,24027,52086,SEPE,Comunidad Valenciana,NO,SI,SI,299,299,WSCR_Nudo,240,N/A,240,N/A,Est_Gen_Nudo,298,N/A,298,N/A,Est_Alm_Nudo
BELINCHON 400,14056,50081,SEPE,Castilla-La Mancha,SI,NO,SI,1811,947,WSCR_Nudo,2649,E322_SEPE,1785,3104,Est_Gen_Nudo,3978,E322_SEPE,3114,3114,Est_Alm_Nudo/Est_Alm_Zona
BELLICENS 220,23020,50082,SEPE,Cataluña,SI,SI,SI,504,437,WSCR_Nudo,556,N/A,48,N/A,Est_Gen_Nudo,629,N/A,89,N/A,Est_Alm_Nudo
BENADRESA 220,24021,50083,SEPE,Comunidad Valenciana,SI,SI,SI,260,260,WSCR_Nudo,440,"E101_SEPE, E34_SEPE",437,-1218,Est_Gen_Zona,464,"E101_SEPE, E34_SEPE",460,-1063,Est_Alm_Zona
BENAHADUX 220,25035,50084,SEPE,Andalucía,NO,SI,SI,268,227,WSCR_Nudo,1706,N/A,1604,N/A,Est_Gen_Nudo,2387,N/A,2286,N/A,Est_Alm_Nudo
BENAHAVIS 220,25038,50709,SEPE,Andalucía,SI,SI,SI,301,301,WSCR_Nudo,537,E193_SEPE,537,902,Est_Gen_Nudo,564,E193_SEPE,564,1029,Est_Alm_Nudo
BENEJAMA 400,14010,50085,SEPE,Comunidad Valenciana,NO,SI,SI,688,470,WSCR_Nudo,3618,E98_SEPE,2779,2724,Est_Gen_Zona,3955,E98_SEPE,3117,3062,Est_Alm_Zona
BENEJAMA 220,24020,50085,SEPE,Comunidad Valenciana,SI,NO,SI,647,593,WSCR_Nudo,2191,E98_SEPE,2136,2724,Est_Gen_Nudo,2460,E98_SEPE,2406,3062,Est_Alm_Nudo
BENICULL 220,24119,50086,SEPE,Comunidad Valenciana,NO,SI,SI,101,101,WSCR_Nudo,958,"E240_SEPE, E36_SEPE",958,1020,Est_Gen_Nudo,978,"E240_SEPE, E36_SEPE",978,1278,Est_Alm_Nudo
BENIFERRI 220,24028,50087,SEPE,Comunidad Valenciana,NO,SI,SI,316,316,WSCR_Nudo,910,E340_SEPE,903,1131,Est_Gen_Nudo,1005,E340_SEPE,968,1223,Est_Alm_Nudo
BERJA 220,25037,50089,SEPE,Andalucía,SI,SI,SI,328,4,WSCR_Nudo,633,E218_SEPE,56,364,Est_Gen_Nudo,686,E218_SEPE,56,364,Est_Alm_Nudo
BERNAT 220,24109,50090,SEPE,Comunidad Valenciana,SI,NO,SI,118,118,WSCR_Nudo,1112,"E240_SEPE, E36_SEPE",1112,1020,Est_Gen_Zona,1367,"E240_SEPE, E36_SEPE",1367,1278,Est_Alm_Zona
BESCANO 400,13011,50091,SEPE,Cataluña,NO,SI,SI,643,643,WSCR_Nudo,2239,E94_SEPE,2233,2326,Est_Gen_Nudo,2636,E94_SEPE,2624,2624,Est_Alm_Nudo/Est_Alm_Zona
BESCANO 220,23034,50091,SEPE,Cataluña,NO,NO,NO,390,390,WSCR_Nudo,1212,E94_SEPE,1212,2326,Est_Gen_Nudo,1279,E94_SEPE,1279,2624,Est_Alm_Nudo
BESOS NUEVO 220,23025,50092,SEPE,Cataluña,SI,SI,SI,71,71,WSCR_Nudo,1410,N/A,-274,N/A,Est_Gen_Nudo,1449,N/A,-234,N/A,Est_Alm_Nudo
BIENVENIDA 400,15012,50093,SEPE,Extremadura,SI,NO,SI,780,239,WSCR_Nudo,3171,N/A,2630,N/A,Est_Gen_Nudo,3321,N/A,2780,N/A,Est_Alm_Nudo
BIESCAS 220,23040,50094,SEPE,Aragón,SI,NO,SI,299,299,WSCR_Nudo,113,E21_SEPE,51,-201,Est_Gen_Zona,184,E21_SEPE,122,199,Est_Alm_Nudo
BIT 66,39750,50095,SEB,Islas Baleares,NO,SI,SI,26,12,WSCR_Nudo,199,N/A,159,N/A,Est_Gen_Nudo,264,N/A,224,N/A,Est_Alm_Nudo
BOADILLA 220,24024,50096,SEPE,Comunidad de Madrid,SI,SI,SI,795,612,WSCR_Nudo,404,N/A,221,N/A,Est_Gen_Nudo,454,N/A,271,N/A,Est_Alm_Nudo
BOIMENTE 400,11013,50097,SEPE,Galicia,NO,SI,SI,831,107,WSCR_Nudo,2394,E227_SEPE,1459,1449,Est_Gen_Zona,2530,E227_SEPE,1595,1851,Est_Alm_Nudo
BOLARQUE 220,24025,50098,SEPE,Castilla-La Mancha,SI,SI,SI,216,0,WSCR_Nudo,490,E44_SEPE,-138,453,Est_Gen_Nudo,517,E44_SEPE,-138,454,Est_Alm_Nudo
BOSSA 132,29670,50099,SEB,Islas Baleares,NO,SI,SI,3,3,WSCR_Nudo,234,E28_SEB,234,223,Est_Gen_Zona,252,E28_SEB,252,234,Est_Alm_Zona
BRAZATORTAS 400,15004,50100,SEPE,Castilla-La Mancha,SI,NO,SI,1009,616,WSCR_Nudo,2666,E81_SEPE,2274,2891,Est_Gen_Nudo,2747,E81_SEPE,2354,3381,Est_Alm_Nudo
BRAZATORTAS 220,25039,50100,SEPE,Castilla-La Mancha,SI,NO,SI,627,465,WSCR_Nudo,862,"E323_SEPE, E81_SEPE",700,49,Est_Gen_Zona,1191,"E323_SEPE, E81_SEPE",1029,378,Est_Alm_Zona
BROVALES 400,15013,50101,SEPE,Extremadura,SI,SI,SI,932,226,WSCR_Nudo,4844,"E111_SEPE, E327_SEPE",4138,3600,Est_Gen_Zona,4958,"E111_SEPE, E327_SEPE",4252,4807,Est_Alm_Nudo
BROVALES 220,25021,50101,SEPE,Extremadura,NO,NO,NO,146,146,WSCR_Nudo,723,E111_SEPE,723,4240,Est_Gen_Nudo,843,E111_SEPE,843,4856,Est_Alm_Nudo
BUDIA 400,14066,51449,SEPE,Castilla-La Mancha,SI,NO,SI,929,929,WSCR_Nudo,1998,E353_SEPE,1998,1155,Est_Gen_Zona,2426,E353_SEPE,2426,1819,Est_Alm_Zona
BUENAVISTA 220,24082,50102,SEPE,Comunidad de Madrid,SI,SI,SI,747,649,WSCR_Nudo,271,N/A,172,N/A,Est_Gen_Nudo,319,N/A,219,N/A,Est_Alm_Nudo
BUENAVISTA GC 66,39030,50103,SEC,Canarias,NO,SI,SI,107,60,WSCR_Nudo,100,N/A,45,N/A,Est_Gen_Nudo,102,N/A,45,N/A,Est_Alm_Nudo
BUENOS AIRES 220,29230,50104,SEC,Canarias,NO,NO,NO,115,115,WSCR_Nudo,530,N/A,530,N/A,Est_Gen_Nudo,561,N/A,561,N/A,Est_Alm_Nudo
BUENOS AIRES 66,39230,50104,SEC,Canarias,NO,SI,SI,86,66,WSCR_Nudo,187,N/A,168,N/A,Est_Gen_Nudo,191,N/A,168,N/A,Est_Alm_Nudo
BUNIEL 400,12013,50710,SEPE,Castilla y León,SI,NO,SI,843,528,WSCR_Nudo,1407,N/A,1092,N/A,Est_Gen_Nudo,1756,N/A,1441,N/A,Est_Alm_Nudo
BUNYOLA 66,39760,50105,SEB,Islas Baleares,NO,SI,SI,89,75,WSCR_Nudo,120,E14_SEB,95,95,Est_Gen_Nudo/Est_Gen_Zona,127,E14_SEB,97,97,Est_Alm_Nudo/Est_Alm_Zona
CABRA 400,15024,50106,SEPE,Andalucía,SI,NO,SI,1317,878,WSCR_Nudo,3379,E315_SEPE,2940,2713,Est_Gen_Zona,3834,E315_SEPE,3395,3186,Est_Alm_Zona
CACERES 220,24035,50107,SEPE,Extremadura,NO,SI,SI,239,143,WSCR_Nudo,585,E326_SEPE,329,117,Est_Gen_Zona,747,E326_SEPE,490,289,Est_Alm_Zona
CACICEDO 220,21027,50108,SEPE,Cantabria,NO,SI,SI,159,64,WSCR_Nudo,898,E228_SEPE,829,452,Est_Gen_Zona,925,E228_SEPE,829,452,Est_Alm_Zona
CALA BLAVA 66,39940,50711,SEB,Islas Baleares,SI,SI,SI,131,12,WSCR_Nudo,290,N/A,85,N/A,Est_Gen_Nudo,292,N/A,85,N/A,Est_Alm_Nudo
CALA MESQUIDA 132,29820,50110,SEB,Islas Baleares,NO,NO,NO,18,18,WSCR_Nudo,107,N/A,107,N/A,Est_Gen_Nudo,118,N/A,118,N/A,Est_Alm_Nudo
CALA MILLOR 66,39825,50111,SEB,Islas Baleares,NO,SI,SI,17,2,WSCR_Nudo,128,N/A,70,N/A,Est_Gen_Nudo,160,N/A,101,N/A,Est_Alm_Nudo
CALAMOCHA 220,23044,50112,SEPE,Aragón,NO,SI,SI,287,226,WSCR_Nudo,654,E23_SEPE,382,39,Est_Gen_Zona,712,E23_SEPE,440,47,Est_Alm_Zona
CALATORAO 220,23036,51427,SEPE,Aragón,NO,NO,NO,225,225,WSCR_Nudo,1174,N/A,1174,N/A,Est_Gen_Nudo,1258,N/A,1258,N/A,Est_Alm_Nudo
CALDERS 400,13018,50113,SEPE,Cataluña,NO,SI,SI,193,70,WSCR_Nudo,1002,N/A,691,N/A,Est_Gen_Nudo,1044,N/A,724,N/A,Est_Alm_Nudo
CALERA Y CHOZAS 220,24151,52089,SEPE,Castilla-La Mancha,NO,NO,NO,251,251,WSCR_Nudo,998,N/A,998,N/A,Est_Gen_Nudo,1386,N/A,1386,N/A,Est_Alm_Nudo
CALETILLAS 220,29233,50712,SEC,Canarias,NO,NO,NO,41,41,WSCR_Nudo,752,N/A,752,N/A,Est_Gen_Nudo,811,N/A,811,N/A,Est_Alm_Nudo
CALLEJONES 66,39372,50713,SEC,Canarias,SI,NO,SI,32,0,WSCR_Nudo,87,E29_SEC,55,52,Est_Gen_Zona,89,E29_SEC,57,54,Est_Alm_Zona
CALVIA 66,39765,50114,SEB,Islas Baleares,NO,SI,SI,13,0,WSCR_Nudo,151,N/A,142,N/A,Est_Gen_Nudo,172,N/A,150,N/A,Est_Alm_Nudo
CAMARENA 400,14076,51439,SEPE,Castilla-La Mancha,NO,NO,NO,847,847,WSCR_Nudo,1685,E355_SEPE,1685,1685,Est_Gen_Nudo/Est_Gen_Zona,1746,E355_SEPE,1746,1746,Est_Alm_Nudo/Est_Alm_Zona
CAMARENA 220,24164,51439,SEPE,Castilla-La Mancha,NO,NO,NO,746,746,WSCR_Nudo,1122,E355_SEPE,1122,1685,Est_Gen_Nudo,1248,E355_SEPE,1248,1746,Est_Alm_Nudo
CAMINO FREGACEDOS 220,24034,50115,SEPE,Comunidad de Madrid,SI,SI,SI,761,761,WSCR_Nudo,452,N/A,452,N/A,Est_Gen_Nudo,495,N/A,495,N/A,Est_Alm_Nudo
CAMPANARIO 400,14021,50116,SEPE,Castilla-La Mancha,SI,NO,SI,859,150,WSCR_Nudo,2975,N/A,2266,N/A,Est_Gen_Nudo,3525,N/A,2816,N/A,Est_Alm_Nudo
CAMPO NACIONES 220,24037,50779,SEPE,Comunidad de Madrid,NO,SI,SI,885,885,WSCR_Nudo,753,N/A,753,N/A,Est_Gen_Nudo,805,N/A,805,N/A,Est_Alm_Nudo
CAMPOAMOR 220,24040,50117,SEPE,Comunidad Valenciana,NO,SI,SI,215,173,WSCR_Nudo,959,E188_SEPE,896,834,Est_Gen_Zona,1006,E188_SEPE,943,1000,Est_Alm_Nudo
CAMPOS 400,14019,51339,SEPE,Región de Murcia,SI,NO,SI,740,431,WSCR_Nudo,2549,N/A,2239,N/A,Est_Gen_Nudo,2704,N/A,2395,N/A,Est_Alm_Nudo
CAN BARBA 400,13015,50118,SEPE,Cataluña,NO,SI,SI,164,164,WSCR_Nudo,2200,N/A,2172,N/A,Est_Gen_Nudo,2254,N/A,2226,N/A,Est_Alm_Nudo
CAN JARDI 400,13055,50119,SEPE,Cataluña,NO,NO,NO,449,449,WSCR_Nudo,1235,E86_SEPE,1235,1432,Est_Gen_Nudo,1355,E86_SEPE,1355,1594,Est_Alm_Nudo
CAN JARDI 220,23250,50119,SEPE,Cataluña,SI,SI,SI,745,609,WSCR_Nudo,694,"E152_SEPE_Bin, E86_SEPE",670,670,Est_Gen_Nudo/Est_Gen_Zona,1023,"E152_SEPE_Bin, E86_SEPE",861,1033,Est_Alm_Nudo
CAN JARDI (CAN JARDI B) 220,63250,50119,SEPE,Cataluña,NO,NO,NO,725,725,WSCR_Nudo,501,E152_SEPE_Bin,501,670,Est_Gen_Nudo,612,E152_SEPE_Bin,612,1033,Est_Alm_Nudo
CAN PICAFORT 66,39860,50120,SEB,Islas Baleares,NO,SI,SI,53,15,WSCR_Nudo,122,N/A,52,N/A,Est_Gen_Nudo,133,N/A,63,N/A,Est_Alm_Nudo
CANDELARIA 220,29235,50122,SEC,Canarias,NO,NO,NO,41,41,WSCR_Nudo,691,E16_SEC,691,744,Est_Gen_Nudo,705,E16_SEC,705,769,Est_Alm_Nudo
CANDELARIA 66,39235,50122,SEC,Canarias,SI,SI,SI,100,50,WSCR_Nudo,170,"E16_SEC, E35_SEC_BIN",140,288,Est_Gen_Nudo,191,"E16_SEC, E35_SEC_BIN",140,288,Est_Alm_Nudo
CANDELARIA (CANDELARIA B) 66,79235,50122,SEC,Canarias,NO,NO,NO,12,12,WSCR_Nudo,195,"E16_SEC, E35_SEC_BIN",195,288,Est_Gen_Nudo,216,"E16_SEC, E35_SEC_BIN",216,288,Est_Alm_Nudo
CANILLEJAS 220,24042,50123,SEPE,Comunidad de Madrid,NO,SI,SI,835,835,WSCR_Nudo,685,N/A,683,N/A,Est_Gen_Nudo,751,N/A,714,N/A,Est_Alm_Nudo
CANYET 220,23045,50124,SEPE,Cataluña,NO,NO,NO,698,698,WSCR_Nudo,1529,N/A,1529,N/A,Est_Gen_Nudo,2199,N/A,2199,N/A,Est_Alm_Nudo
CAÑADA DE LA BARCA 132,29373,50714,SEC,Canarias,SI,NO,SI,23,2,WSCR_Nudo,187,N/A,167,N/A,Est_Gen_Nudo,188,N/A,167,N/A,Est_Alm_Nudo
CAÑAVERAL 400,14027,50715,SEPE,Extremadura,SI,NO,SI,823,485,WSCR_Nudo,2140,N/A,1802,N/A,Est_Gen_Nudo,2353,N/A,2014,N/A,Est_Alm_Nudo
CAÑUELO 220,25044,50125,SEPE,Andalucía,SI,SI,SI,99,0,WSCR_Nudo,1354,"E146_SEPE_Bin, E40_SEPE, E47_SEPE",1295,1063,Est_Gen_Zona,1424,"E146_SEPE_Bin, E40_SEPE, E47_SEPE",1325,1063,Est_Alm_Zona
CAPARACENA 400,15008,50126,SEPE,Andalucía,SI,NO,SI,1077,530,WSCR_Nudo,2396,"E308_SEPE, E50_SEPE",1849,1349,Est_Gen_Zona,2575,"E308_SEPE, E50_SEPE",2027,1528,Est_Alm_Zona
CAPARACENA 220,25075,50126,SEPE,Andalucía,SI,SI,SI,427,66,WSCR_Nudo,1721,"E274_SEPE, E50_SEPE",1221,1147,Est_Gen_Zona,2043,"E274_SEPE, E50_SEPE",1543,1469,Est_Alm_Zona
CAPDEPERA 66,39720,50127,SEB,Islas Baleares,NO,SI,SI,10,7,WSCR_Nudo,100,E15_SEB,79,53,Est_Gen_Zona,104,E15_SEB,81,61,Est_Alm_Zona
CARDOSO 400,11029,50733,SEPE,Principado de Asturias,NO,NO,NO,625,625,WSCR_Nudo,1720,E68_SEPE,1720,2474,Est_Gen_Nudo,1926,E68_SEPE,1926,2591,Est_Alm_Nudo
CARDOSO 220,21017,50733,SEPE,Principado de Asturias,NO,NO,NO,415,415,WSCR_Nudo,1587,"E321_SEPE, E68_SEPE",1587,1492,Est_Gen_Zona,1882,"E321_SEPE, E68_SEPE",1882,1492,Est_Alm_Zona
CARIÑENA 400,13012,51267,SEPE,Aragón,SI,NO,SI,955,482,WSCR_Nudo,856,N/A,383,N/A,Est_Gen_Nudo,1102,N/A,630,N/A,Est_Alm_Nudo
CARMONA 400,15037,50128,SEPE,Andalucía,SI,NO,SI,1332,809,WSCR_Nudo,2312,E57_SEPE,1789,1498,Est_Gen_Zona,2520,E57_SEPE,1997,1574,Est_Alm_Zona
CARMONA 220,25157,50128,SEPE,Andalucía,SI,NO,SI,991,566,WSCR_Nudo,1732,E57_SEPE,1307,1498,Est_Gen_Nudo,2066,E57_SEPE,1641,1574,Est_Alm_Zona
CARMONITA 400,15120,50716,SEPE,Extremadura,SI,NO,SI,1305,337,WSCR_Nudo,1756,N/A,788,N/A,Est_Gen_Nudo,2352,N/A,1384,N/A,Est_Alm_Nudo
CARRIL 400,14026,50129,SEPE,Región de Murcia,SI,SI,SI,727,458,WSCR_Nudo,3526,N/A,3071,N/A,Est_Gen_Nudo,4022,N/A,3567,N/A,Est_Alm_Nudo
CARRIO 220,21025,50130,SEPE,Principado de Asturias,SI,SI,SI,427,422,WSCR_Nudo,1770,E7_SEPE,1048,1048,Est_Gen_Nudo/Est_Gen_Zona,1834,E7_SEPE,1048,1048,Est_Alm_Nudo/Est_Alm_Zona
CARRIZAL 66,39035,50131,SEC,Canarias,NO,SI,SI,20,20,WSCR_Nudo,152,E08_SEC,109,-31,Est_Gen_Zona,154,E08_SEC,111,-20,Est_Alm_Zona
CARROYUELAS 220,24092,50132,SEPE,Castilla-La Mancha,SI,NO,SI,224,70,WSCR_Nudo,608,"E17_SEPE, E210_SEPE",354,91,Est_Gen_Zona,1007,"E17_SEPE, E210_SEPE",753,277,Est_Alm_Zona
