request_id,request_received_date,request_type,transport_node_name_voltage,transport_position,autonomous_community,requested_access_capacity_mw,publication_month_end_date,contest_node
AUT-41000-25,2025-06-13,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,SAN SERVAN 220,ASV220-INSV1,Extremadura,40,,NO
GENT-AC8-40202-25,2025-05-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 220,ASV220-INSV1,Extremadura,40,,NO
GENT-AC9-35602-24,2024-12-02,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 220,ASV220-INSV1,Extremadura,4.9349999999999996,,NO
AUT-34171-24,2024-10-11,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,SAN SERVAN 220,ASV220-INSV1,Extremadura,1,,NO
GENT-AC7-33331-24,2024-09-13,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 220,ASV220-INSV1,Extremadura,4.9349999999999996,,NO
GENT-AC8-33613-24,2024-09-23,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 220,ASV220-INSV1,Extremadura,2.5,,NO
GENT-AC4-44272-25,2025-10-28,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,33,,NO
GENT-AC4-44283-25,2025-10-28,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,33,,NO
GENT-AC4-38636-25,2025-03-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,21.245000000000001,,NO
GENT-AC4-37287-25,2025-02-03,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,21.24,,NO
GENT-AC3-36218-24,2024-12-24,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,21.24,,NO
GENT-AC3-36241-24,2024-12-26,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,21.24,,NO
AUT-34194-24,2024-10-11,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,SAN SERVAN 400,ASV400-C1SR1,Extremadura,1,,NO
