Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
ABRERA 220;23000;50002;SEPE;Cataluña;;;✓;;NO;SI;SI;257; N/A ;  ;251;N/A;N/A;251;251;WSCR_Nudo;N/A;269;E205_SEPE;225;15;15;15;15;Est_Gen_Zona;NO;306;E205_SEPE;262;509;509;262;262;Est_Alm_Nudo;NO;821; N/A ;777;N/A;N/A;N/A;777;777;D_Nudo;N/A;44;22;6;16;22;44;0;9;0;0;9;9;0;9;15;15;262;251;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;WSCR_Nudo;15;15;262;251;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;44;44;0;0;0;9; NO ;509; SI ; NO ;;SI;20/08/2021;;;;;15;15;262;251;Concurso;
ACECA 220;24000;50003;SEPE;Castilla-La Mancha;✓;;✓;✓;SI;SI;SI;548; N/A ;  ;48;N/A;N/A;48;48;WSCR_Nudo;N/A;652;N/A;-1024;N/A;N/A;0;0;Est_Gen_Nudo;N/A;1.219;N/A;-458;N/A;N/A;0;0;Est_Alm_Nudo;N/A;2.505; N/A ;829;N/A;N/A;805;829;829;D_Nudo;N/A;1.677;566;500;611;1.111;1.677;0;366;366;0;0;0;366;0;0;0;0;0;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.677;1.677;0;0;0;19; NO ;473; NO ; NO ;;;;;;;;;;;;;
ADRALL 220;23002;50004;SEPE;Cataluña;;;✓;✓;NO;SI;SI;220; N/A ;  ;220;N/A;N/A;220;220;WSCR_Nudo;N/A;436;E209_SEPE;368;-553;-553;0;0;Est_Gen_Zona;NO;477;E209_SEPE;409;-524;-524;0;0;Est_Alm_Zona;NO;1.202; N/A ;1134;N/A;N/A;N/A;1.134;1.134;D_Nudo;N/A;68;40;0;28;28;68;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;68;68;0;0;0;0; NO ;478; NO ; NO ;;;;;;;;;;;;;
AENA 220;24002;50005;SEPE;Comunidad de Madrid;;✓;✓;;SI;SI;SI;896; N/A ;  ;731;N/A;N/A;731;731;WSCR_Nudo;N/A;418;N/A;220;N/A;N/A;220;220;Est_Gen_Nudo;N/A;489;N/A;291;N/A;N/A;291;291;Est_Alm_Nudo;N/A;736; N/A ;538;N/A;N/A;N/A;538;538;D_Nudo;N/A;198;33;165;0;165;198;0;0;0;0;0;0;0;0;220;220;291;291;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;220;220;291;291;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;198;198;0;0;0;0; NO ;30; NO ; NO ;;SI;29/06/2021;;;;;220;220;291;291;Concurso;
AENA OESTE 220;23007;50006;SEPE;Cataluña;;;✓;;NO;SI;SI;683; N/A ;  ;683;N/A;N/A;683;683;WSCR_Nudo;N/A;151;E290_SEPE;151;129;129;129;129;Est_Gen_Zona;NO;285;E290_SEPE;285;1251;1251;285;285;Est_Alm_Nudo;NO;805; N/A ;805;N/A;N/A;N/A;805;805;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;129;285;285;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;129;129;0;0;285;285;0;0;0;0;0;0; NO ;60; NO ; NO ;;;;;;;;;;;;;
AEROPUERTO BARCELONA 220;23046;50007;SEPE;Cataluña;;;✓;;NO;SI;SI;701; N/A ;  ;691;N/A;N/A;691;691;WSCR_Nudo;N/A;151;E290_SEPE;129;129;129;129;129;Est_Gen_Nudo/Est_Gen_Zona;NO;246;E290_SEPE;224;1251;1251;224;224;Est_Alm_Nudo;NO;805; N/A ;783;N/A;N/A;N/A;783;783;D_Nudo;N/A;22;11;10;1;11;22;0;0;0;0;0;0;0;0;129;129;224;224;Est_Gen_Nudo/Est_Gen_Zona;Est_Gen_Nudo/Est_Gen_Zona;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;129;129;0;0;224;224;22;21;1;0;0;60; NO ;0; NO ; NO ;;;;;;;;;;;;;
AGUACATE 220;24026;50008;SEPE;Comunidad de Madrid;;;✓;;NO;SI;SI;900; N/A ;  ;900;N/A;N/A;900;900;WSCR_Nudo;N/A;553;E213_SEPE;553;433;433;433;433;Est_Gen_Zona;NO;656;E213_SEPE;626;433;433;433;433;Est_Alm_Zona;NO;710; N/A ;680;N/A;N/A;N/A;680;680;D_Nudo;N/A;30;0;0;30;30;0;30;0;0;0;0;0;0;0;433;433;433;433;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;433;433;0;0;433;433;30;30;0;0;0;30; NO ;358; NO ; NO ;;;;;;;;;;;;;
AGUAYO 400;11000;50009;SEPE;Cantabria;✓;✓;;;SI;NO;SI;636; N/A ;  ;636;N/A;N/A;636;636;WSCR_Nudo;N/A;1.779;E71_SEPE;986;440;440;440;440;Est_Gen_Zona;SI;1.980;E71_SEPE;986;440;440;440;440;Est_Alm_Zona;SI;1.951; N/A ;957;N/A;N/A;976;957;957;D_Nudo;N/A;994;994;0;0;0;0;994;0;0;0;0;0;0;0;440;440;440;440;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;440;440;440;440;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;994;994;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;440;440;440;440;Concurso;
AGUAYO 220;21000;50009;SEPE;Cantabria;✓;✓;;;SI;NO;SI;644; N/A ;  ;460;N/A;N/A;460;460;WSCR_Nudo;N/A;1.440;E71_SEPE;1112;440;440;440;440;Est_Gen_Zona;SI;1.658;E71_SEPE;1112;440;440;440;440;Est_Alm_Zona;SI;1.076; N/A ;530;N/A;N/A;N/A;530;530;D_Nudo;N/A;546;362;184;0;184;184;362;0;0;0;0;0;0;0;440;440;440;440;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;440;440;440;440;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;546;546;0;0;0;0; NO ;705; SI ; NO ;;SI;29/06/2021;;;;;440;440;440;440;Concurso;
AGÜIMES 66;39003;50702;SEC;Canarias;✓;;;;SI;NO;SI;61; N/A ;  ;22;N/A;N/A;22;22;WSCR_Nudo;N/A;96;E08_SEC;58;-31;-31;0;0;Est_Gen_Zona;NO;98;E08_SEC;59;-20;-20;0;0;Est_Alm_Zona;NO;34; N/A ;-5;N/A;N/A;N/A;0;0;D_Nudo;N/A;39;0;39;0;39;39;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;39;39;0;0;0;0; NO ;49; NO ; NO ;;;;;;;;;;;;;
