Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
EIRIS 220;21024;50189;SEPE;Galicia;;;✓;;NO;SI;SI;385; N/A ;  ;380;N/A;N/A;380;380;WSCR_Nudo;N/A;446;E244_SEPE, E279_SEPE;446;364;-44;364;0;Est_Gen_Zona;SI;469;E244_SEPE, E279_SEPE;459;364;-44;364;0;Est_Alm_Zona;SI;811; D10_SEPE ;802;-1022;-1430;N/A;0;0;D_Zona;SI;10;0;5;5;10;0;10;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;10;10;0;0;0;0; NO ;9; NO ; NO ;;;;;;;;;;;;;
EIXAMPLE 220;23072;50190;SEPE;Cataluña;;;✓;;NO;SI;SI;65; N/A ;  ;65;N/A;N/A;65;65;WSCR_Nudo;N/A;595;N/A;595;N/A;N/A;595;595;Est_Gen_Nudo;N/A;600;N/A;600;N/A;N/A;600;600;Est_Alm_Nudo;N/A;820; N/A ;820;N/A;N/A;N/A;820;820;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595;65;600;65;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;595;65;0;0;600;65;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
EL CANTALAR 220;24046;50191;SEPE;Comunidad Valenciana;;✓;✓;;SI;SI;SI;271; N/A ;  ;117;N/A;N/A;117;117;WSCR_Nudo;N/A;838;E37_SEPE;660;1236;1236;660;660;Est_Gen_Nudo;NO;851;E37_SEPE;673;1541;1541;673;673;Est_Alm_Nudo;NO;455; D50_SEPE ;277;-97;-97;N/A;0;0;D_Zona;NO;178;7;154;16;170;178;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;178;178;0;0;0;1.551; SI ;271; NO ; NO ;;;;;;;;;;;;;
EL CERRO 220;22042;50192;SEPE;Castilla y León;✓;;;;SI;NO;SI;30; N/A ;  ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;249;E12_SEPE;219;291;291;219;219;Est_Gen_Nudo;NO;262;E12_SEPE;232;405;405;232;232;Est_Alm_Nudo;NO;1.227; D60_SEPE ;1197;802;802;N/A;802;802;D_Zona;NO;30;0;30;0;30;30;0;443;0;0;443;443;398;46;219;0;232;0;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;219;0;0;0;232;0;0;0;30;30;0;0;0;2.006; SI ;1.942; SI ; NO ;;;;;;;;;;;;;
EL CONDADO 220;25139;51403;SEPE;Andalucía;;;;;NO;NO;NO;271; N/A ;  ;271;N/A;N/A;271;271;WSCR_Nudo;N/A;216;N/A;216;N/A;N/A;216;216;Est_Gen_Nudo;N/A;296;N/A;296;N/A;N/A;296;296;Est_Alm_Nudo;N/A;1.112; N/A ;1112;N/A;N/A;N/A;1.112;1.112;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;216;296;271;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;216;216;296;271;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;45; NO ; NO ;;;;;;;;;;;;;
EL COTO 220;24059;UFD-50222;SEPE;Comunidad de Madrid;;;✓;;NO;SI;SI;900; N/A ;  ;900;N/A;N/A;900;900;WSCR_Nudo;N/A;880;N/A;880;N/A;N/A;880;880;Est_Gen_Nudo;N/A;964;N/A;964;N/A;N/A;964;964;Est_Alm_Nudo;N/A;678; N/A ;678;N/A;N/A;N/A;678;678;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;678;678;678;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;678;678;0;0;678;678;0;0;0;0;0;0; NO ;110; NO ; NO ;;;;;;;;;;;;;
EL EMPERADOR 220;24067;50193;SEPE;Castilla-La Mancha;;;;;NO;NO;NO;166; N/A ;  ;166;N/A;N/A;166;166;WSCR_Nudo;N/A;401;E211_SEPE;401;401;401;401;401;Est_Gen_Nudo/Est_Gen_Zona;NO;556;E211_SEPE;556;556;556;556;556;Est_Alm_Nudo/Est_Alm_Zona;NO;1.295; N/A ;1295;N/A;N/A;N/A;1.295;1.295;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401;166;556;166;Est_Gen_Nudo/Est_Gen_Zona;WSCR_Nudo;Est_Alm_Nudo/Est_Alm_Zona;WSCR_Nudo;401;166;556;166;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
EL MORELL 220;23192;50194;SEPE;Cataluña;;;;;NO;NO;NO;271; N/A ;  ;271;N/A;N/A;271;271;WSCR_Nudo;N/A;109;E347_SEPE;109;109;109;109;109;Est_Gen_Nudo/Est_Gen_Zona;NO;214;E347_SEPE;214;999;999;214;214;Est_Alm_Nudo;NO;806; D57_SEPE ;806;806;806;N/A;806;806;D_Nudo/D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;109;214;214;Est_Gen_Nudo/Est_Gen_Zona;Est_Gen_Nudo/Est_Gen_Zona;Est_Alm_Nudo;Est_Alm_Nudo;109;109;214;214;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
EL PALMAR 400;14092;50195;SEPE;Región de Murcia;✓;;;;SI;NO;SI;790; N/A ;  ;183;N/A;N/A;183;183;WSCR_Nudo;N/A;5.343;E136_SEPE;4736;4234;4234;4.234;4.234;Est_Gen_Zona;NO;5.642;E136_SEPE;5035;4533;4533;4.533;4.533;Est_Alm_Zona;NO;12; N/A ;-595;N/A;N/A;12;0;0;D_Nudo;N/A;607;0;607;0;607;607;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;607;607;0;0;0;0; NO ;661; SI ; NO ;;;;;;;;;;;;;
EL PALMAR 220;24205;50195;SEPE;Región de Murcia;;;✓;;NO;SI;SI;157; N/A ;  ;54;N/A;N/A;54;54;WSCR_Nudo;N/A;2.076;E136_SEPE, E39_SEPE;1574;1574;1574;1.574;1.574;Est_Gen_Nudo/Est_Gen_Zona;SI;2.145;E136_SEPE, E39_SEPE;1642;1642;1642;1.642;1.642;Est_Alm_Nudo;SI;451; D67_SEPE ;-52;-52;-52;N/A;0;0;D_Nudo/D_Zona;SI;503;6;103;393;497;503;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo/D_Zona;D_Nudo/D_Zona;D_Nudo/D_Zona;D_Nudo/D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;503;503;0;0;0;70; NO ;15; NO ; NO ;;;;;;;;;;;;;
EL PALMAR DE LA GOMERA 66;39550;50725;SEC;Canarias;;;;✓;NO;SI;SI;9; N/A ;  ;9;N/A;N/A;9;9;WSCR_Nudo;N/A;100;E21_SEC;77;217;217;77;77;Est_Gen_Nudo;NO;102;E21_SEC;79;219;219;79;79;Est_Alm_Nudo;NO;58; N/A ;35;N/A;N/A;N/A;35;35;D_Nudo;N/A;23;0;0;23;23;23;0;0;0;0;0;0;0;0;35;9;35;9;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;0;0;0;;0;0;35;9;0;0;35;9;23;23;0;0;0;51; NO ;0; NO ; NO ;;;;;;;;;;;;;
EL PALMERAL 220;24207;50196;SEPE;Comunidad Valenciana;;✓;✓;✓;SI;SI;SI;469; N/A ;  ;299;N/A;N/A;299;299;WSCR_Nudo;N/A;889;E259_SEPE;717;1575;1575;717;717;Est_Gen_Nudo;SI;957;E259_SEPE;786;2279;2279;786;786;Est_Alm_Nudo;SI;839; N/A ;667;N/A;N/A;N/A;667;667;D_Nudo;N/A;172;0;170;2;172;172;0;0;0;0;0;0;0;0;667;299;667;299;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;667;299;667;299;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;172;172;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;667;299;667;299;Concurso;
EL PALO 400;11022;50197;SEPE;Principado de Asturias;✓;✓;;;SI;NO;SI;857; N/A ;  ;542;N/A;N/A;542;542;WSCR_Nudo;N/A;2.939;N/A;2624;N/A;N/A;2.624;2.624;Est_Gen_Nudo;N/A;3.241;N/A;2926;N/A;N/A;2.926;2.926;Est_Alm_Nudo;N/A;1.028; N/A ;713;N/A;N/A;N/A;713;713;D_Nudo;N/A;315;0;315;0;315;315;0;0;0;0;0;0;0;0;713;542;713;542;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;713;542;713;542;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;315;315;0;0;0;0; NO ;1.201; SI ; NO ;;SI;29/06/2021;;;;;713;542;713;542;Concurso;
EL PETREL 220;24210;50198;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;268; N/A ;  ;192;N/A;N/A;192;192;WSCR_Nudo;N/A;600;E186_SEPE;346;2182;1440;346;346;Est_Gen_Nudo;SI;638;E186_SEPE;383;2382;1595;383;383;Est_Alm_Nudo;SI;877; N/A ;622;N/A;N/A;N/A;622;622;D_Nudo;N/A;255;9;76;169;246;255;0;0;0;0;0;0;0;0;346;192;383;192;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;346;192;0;0;383;192;255;255;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
EL ROSARIO 220;29320;50726;SEC;Canarias;;;;;NO;NO;NO;39; N/A ;  ;39;N/A;N/A;39;39;WSCR_Nudo;N/A;510;E13_SEC;510;564;564;510;510;Est_Gen_Nudo;NO;514;E13_SEC;514;574;574;514;514;Est_Alm_Nudo;NO;57; N/A ;57;N/A;N/A;N/A;57;57;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;39;57;39;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;57;39;57;39;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
EL ROSARIO 66;39320;50726;SEC;Canarias;;;;;NO;NO;NO;92; N/A ;  ;92;N/A;N/A;92;92;WSCR_Nudo;N/A;344;E13_SEC;344;564;564;344;344;Est_Gen_Nudo;NO;350;E13_SEC;350;574;574;350;350;Est_Alm_Nudo;NO;57; N/A ;57;N/A;N/A;N/A;57;57;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;57;57;57;D_Nudo;D_Nudo;D_Nudo;D_Nudo;57;57;57;57;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;657; NO ; NO ;;;;;;;;;;;;;
EL SEQUERO 220;22200;50199;SEPE;La Rioja;✓;✓;✓;;SI;SI;SI;366; N/A ;  ;97;N/A;N/A;97;97;WSCR_Nudo;N/A;897;E307_SEPE;541;394;394;394;394;Est_Gen_Zona;SI;1.076;E307_SEPE;720;573;573;573;573;Est_Alm_Zona;SI;1.211; N/A ;856;N/A;N/A;N/A;856;856;D_Nudo;N/A;356;6;269;80;350;356;0;406;0;155;251;406;406;0;394;97;573;97;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;394;97;573;97;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;356;356;0;0;0;666; SI ;297; NO ; NO ;;SI;19/06/2024;;;;;394;97;573;97;Concurso;
EL SERRALLO 220;24254;50727;SEPE;Comunidad Valenciana;;;;✓;NO;SI;SI;406; N/A ;  ;406;N/A;N/A;406;406;WSCR_Nudo;N/A;592;E101_SEPE, E34_SEPE;592;-1218;-1218;0;0;Est_Gen_Zona;SI;664;E101_SEPE, E34_SEPE;664;-1063;-1063;0;0;Est_Alm_Zona;SI;1.012; N/A ;1012;N/A;N/A;N/A;1.012;1.012;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;45; NO ;291; NO ; NO ;;;;;;;;;;;;;
EL TABLERO 66;39112;50200;SEC;Canarias;;;✓;;NO;SI;SI;88; N/A ;  ;71;N/A;N/A;71;71;WSCR_Nudo;N/A;125;N/A;104;N/A;N/A;104;104;Est_Gen_Nudo;N/A;133;N/A;112;N/A;N/A;112;112;Est_Alm_Nudo;N/A;36; N/A ;15;N/A;N/A;N/A;15;15;D_Nudo;N/A;21;0;17;4;21;21;0;0;0;0;0;0;0;0;15;15;15;15;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;15;15;0;0;15;15;21;21;0;0;0;44; NO ;449; NO ; NO ;;;;;;;;;;;;;
EL ZUMAJO 220;25066;50798;SEPE;Andalucía;;✓;;✓;SI;SI;SI;412; N/A ;  ;126;N/A;N/A;126;126;WSCR_Nudo;N/A;592;N/A;166;N/A;N/A;166;166;Est_Gen_Nudo;N/A;604;N/A;166;N/A;N/A;166;166;Est_Alm_Nudo;N/A;1.271; N/A ;833;N/A;N/A;N/A;833;833;D_Nudo;N/A;438;0;286;152;438;418;20;50;0;0;50;50;40;10;166;126;166;126;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;166;126;166;126;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;438;443;-5;0;5;265; NO ;745; SI ; NO ;;SI;29/06/2021;;;;;166;126;166;126;Concurso;
ELCHE 220;24066;50201;SEPE;Comunidad Valenciana;;✓;✓;;SI;SI;SI;441; N/A ;  ;401;N/A;N/A;401;401;WSCR_Nudo;N/A;451;E187_SEPE;398;2141;2141;398;398;Est_Gen_Nudo;SI;634;E187_SEPE;581;2783;2783;581;581;Est_Alm_Nudo;SI;723; N/A ;670;N/A;N/A;N/A;670;670;D_Nudo;N/A;53;0;40;13;53;53;0;9;0;9;0;9;9;0;398;398;581;401;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;398;398;581;401;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;53;53;0;0;0;13; NO ;40; NO ; NO ;;SI;29/06/2021;;;;;398;398;581;401;Concurso;
ELCOGAS 220;25063;50202;SEPE;Castilla-La Mancha;✓;;;;SI;NO;SI;398; N/A ;  ;103;N/A;N/A;103;103;WSCR_Nudo;N/A;640;E20_SEPE, E323_SEPE;197;49;-412;49;0;Est_Gen_Zona;SI;680;E20_SEPE, E323_SEPE;237;378;-412;237;0;Est_Alm_Nudo;SI;1.182; D5_SEPE ;739;531;119;N/A;531;119;D_Zona;SI;443;148;295;0;295;443;0;0;0;0;0;0;0;0;49;49;237;103;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;WSCR_Nudo;49;49;237;103;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;443;443;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ELDA 220;24123;50728;SEPE;Comunidad Valenciana;;✓;✓;;SI;SI;SI;398; N/A ;  ;398;N/A;N/A;398;398;WSCR_Nudo;N/A;742;E186_SEPE;742;2182;2182;742;742;Est_Gen_Nudo;NO;787;E186_SEPE;787;2382;2382;787;787;Est_Alm_Nudo;NO;835; N/A ;835;N/A;N/A;N/A;835;835;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;398;787;398;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;742;398;787;398;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;742;398;787;398;Concurso;
ELGEA 220;22047;50203;SEPE;País Vasco;✓;;✓;;SI;SI;SI;265; N/A ;  ;22;N/A;N/A;22;22;WSCR_Nudo;N/A;250;E256_SEPE;53;-5;-5;0;0;Est_Gen_Zona;NO;373;E256_SEPE;67;-5;-5;0;0;Est_Alm_Zona;NO;1.049; D72_SEPE ;744;671;671;N/A;671;671;D_Zona;NO;305;0;244;62;305;197;108;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;305;305;0;0;0;762; SI ;935; SI ; NO ;;;;;;;;;;;;;
ELIANA 400;14045;50204;SEPE;Comunidad Valenciana;;✓;✓;;SI;SI;SI;1.142; N/A ;  ;1.142;N/A;N/A;1.142;1.142;WSCR_Nudo;N/A;1.661;E104_SEPE, E105_SEPE;1295;1295;1295;1.295;1.295;Est_Gen_Nudo/Est_Gen_Zona;SI;1.708;E104_SEPE, E105_SEPE;1342;1342;1342;1.342;1.342;Est_Alm_Nudo/Est_Alm_Zona;SI;0; N/A ;-366;N/A;N/A;0;0;0;D_Nudo;N/A;366;53;0;313;313;366;0;70;0;0;70;70;0;70;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;366;366;0;0;0;85; NO ;427; NO ; NO ;;SI;29/06/2021;;;;;0;0;0;0;Concurso;
ELIANA 220;24065;50204;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;600; W09_SEPE_BIN ;  ;600;763;763;600;600;WSCR_Nudo;NO;960;E104_SEPE, E158_SEPE_Bin;960;1460;1460;960;960;Est_Gen_Nudo;SI;1.123;E104_SEPE, E158_SEPE_Bin;1123;1769;1769;1.123;1.123;Est_Alm_Nudo;SI;869; D80_SEPE_Bin ;869;604;604;N/A;604;604;D_Zona;NO;0;0;0;0;0;0;0;50;0;0;50;50;50;0;604;600;604;600;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;604;600;604;600;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;132; NO ; NO ;;SI;03/08/2022;;;;;604;600;604;600;Concurso;
ELIANA (ELIANA B) 220;64065;50204;SEPE;Comunidad Valenciana;;;;;NO;NO;NO;561; W09_SEPE_BIN ;  ;561;763;163;561;163;WSCR_Nudo;SI;866;E105_SEPE, E158_SEPE_Bin;866;1295;971;866;866;Est_Gen_Nudo;SI;890;E105_SEPE, E158_SEPE_Bin;890;1342;1288;890;890;Est_Alm_Nudo;SI;869; D80_SEPE_Bin ;869;604;0;N/A;604;0;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;604;561;604;561;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;604;561;604;561;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;145; NO ; NO ;;;;;;;;;;;;;
ELS AUBALS 400;13054;50205;SEPE;Cataluña;;;;;NO;NO;NO;718; N/A ;  ;718;N/A;N/A;718;718;WSCR_Nudo;N/A;1.584;E266_SEPE;1584;1506;771;1.506;771;Est_Gen_Zona;SI;2.015;E266_SEPE;2015;1937;1202;1.937;1.202;Est_Alm_Zona;SI;2.401; N/A ;2401;N/A;N/A;701;2.401;2.401;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.506;718;1.937;718;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;1.506;718;1.937;718;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;18; NO ; NO ;;;;;;;;;;;;;
ELS AUBALS 220;23187;50205;SEPE;Cataluña;✓;;✓;;SI;SI;SI;252; N/A ;  ;177;N/A;N/A;177;177;WSCR_Nudo;N/A;1.134;E266_SEPE;1057;1506;1506;1.057;1.057;Est_Gen_Nudo;NO;1.284;E266_SEPE;1206;1937;1937;1.206;1.206;Est_Alm_Nudo;NO;813; N/A ;735;N/A;N/A;N/A;735;735;D_Nudo;N/A;78;0;75;3;78;78;0;18;0;18;0;18;18;0;735;177;735;177;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;735;177;735;177;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;78;78;0;0;0;18; NO ;47; NO ; NO ;;SI;03/08/2022;;;;;735;177;735;177;Concurso;
ENTRENUCLEOS 220;25077;50729;SEPE;Andalucía;;✓;;✓;SI;SI;SI;876; N/A ;  ;483;N/A;N/A;483;483;WSCR_Nudo;N/A;502;E192_SEPE;109;-279;-279;0;0;Est_Gen_Zona;NO;602;E192_SEPE;209;1294;1294;209;209;Est_Alm_Nudo;NO;1.012; N/A ;619;N/A;N/A;N/A;619;619;D_Nudo;N/A;393;0;393;0;393;393;0;490;0;490;0;490;0;490;0;0;209;209;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;0;0;209;209;209;209;393;393;0;0;0;1.451; SI ;1.225; SI ; NO ;;;;;;;;;;;;;
ENTRERRIOS 220;23075;50206;SEPE;Aragón;;;✓;;NO;SI;SI;244; N/A ;  ;174;N/A;N/A;174;174;WSCR_Nudo;N/A;536;N/A;301;N/A;N/A;301;301;Est_Gen_Nudo;N/A;609;N/A;374;N/A;N/A;374;374;Est_Alm_Nudo;N/A;1.236; N/A ;1001;N/A;N/A;N/A;1.001;1.001;D_Nudo;N/A;235;1;69;165;234;235;0;0;0;0;0;0;0;0;301;174;374;174;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;301;174;0;0;374;174;235;235;0;0;0;0; NO ;292; NO ; NO ;;;;;;;;;;;;;
ERISTE 220;23082;50207;SEPE;Aragón;✓;;;;SI;NO;SI;246; N/A ;  ;246;N/A;N/A;246;246;WSCR_Nudo;N/A;191;E271_SEPE;111;1046;1046;111;111;Est_Gen_Nudo;SI;221;E271_SEPE;141;1046;1046;141;141;Est_Alm_Nudo;SI;1.186; D31_SEPE ;1106;910;910;N/A;910;910;D_Zona;SI;80;80;0;0;0;80;0;41;0;41;0;41;0;41;111;111;141;141;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;111;111;141;141;Posible concurso. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;80;180;-100;0;100;420; SI ;585; SI ; SI ;02/05/2026;;;;;;;111;111;141;141;Posible concurso;
ES BESSONS 220;29745;50208;SEB;Islas Baleares;;;;;NO;NO;NO;51; N/A ; Riesgo interacciones ;51;N/A;N/A;51;51;WSCR_Nudo;N/A;405;E02_SEB, E05_SEB;405;390;390;390;390;Est_Gen_Zona;NO;424;E02_SEB, E05_SEB;424;424;424;424;424;Est_Alm_Nudo/Est_Alm_Zona;NO;232; N/A ;232;N/A;N/A;N/A;232;232;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;51;232;51;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;232;51;232;51;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
