Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional			Viajero	Total		2026M01	5.948.424
Total Nacional			Viajero	Total		2025M12	6.937.385
Total Nacional			Viajero	Total		2025M11	7.413.495
Total Nacional			Viajero	Total		2025M10	11.041.430
Total Nacional			Viajero	Total		2025M09	12.050.972
Total Nacional			Viajero	Total		2025M08	13.828.672
Total Nacional			Viajero	Total		2025M07	13.044.764
Total Nacional			Viajero	Total		2025M06	12.256.716
Total Nacional			Viajero	Total		2025M05	11.803.477
Total Nacional			Viajero	Total		2025M04	10.018.537
Total Nacional			Viajero	Total		2025M03	7.680.722
Total Nacional			Viajero	Total		2025M02	6.539.960
Total Nacional			Viajero	Total		2025M01	5.774.050
Total Nacional			Viajero	Total		2024M12	6.561.380
Total Nacional			Viajero	Total		2024M11	7.152.418
Total Nacional			Viajero	Total		2024M10	10.757.739
Total Nacional			Viajero	Total		2024M09	11.753.507
Total Nacional			Viajero	Total		2024M08	13.622.908
Total Nacional			Viajero	Total		2024M07	12.692.328
Total Nacional			Viajero	Total		2024M06	11.865.112
Total Nacional			Viajero	Total		2024M05	11.768.411
Total Nacional			Viajero	Total		2024M04	9.386.103
Total Nacional			Viajero	Total		2024M03	8.433.226
Total Nacional			Viajero	Total		2024M02	6.512.168
Total Nacional			Viajero	Total		2024M01	5.660.859
Total Nacional			Viajero	Total		2023M12	6.586.138
Total Nacional			Viajero	Total		2023M11	6.798.815
Total Nacional			Viajero	Total		2023M10	10.390.441
Total Nacional			Viajero	Total		2023M09	11.627.872
Total Nacional			Viajero	Total		2023M08	13.266.497
Total Nacional			Viajero	Total		2023M07	12.680.483
Total Nacional			Viajero	Total		2023M06	11.535.550
Total Nacional			Viajero	Total		2023M05	10.580.202
Total Nacional			Viajero	Total		2023M04	9.829.384
Total Nacional			Viajero	Total		2023M03	7.361.364
Total Nacional			Viajero	Total		2023M02	5.967.064
Total Nacional			Viajero	Total		2023M01	5.367.962
Total Nacional			Viajero	Total		2022M12	6.054.556
Total Nacional			Viajero	Total		2022M11	6.284.698
Total Nacional			Viajero	Total		2022M10	9.743.259
Total Nacional			Viajero	Total		2022M09	11.050.305
Total Nacional			Viajero	Total		2022M08	12.889.916
Total Nacional			Viajero	Total		2022M07	12.292.936
Total Nacional			Viajero	Total		2022M06	10.990.468
Total Nacional			Viajero	Total		2022M05	9.920.671
Total Nacional			Viajero	Total		2022M04	8.689.822
Total Nacional			Viajero	Total		2022M03	6.061.398
Total Nacional			Viajero	Total		2022M02	5.133.961
Total Nacional			Viajero	Total		2022M01	3.770.578
Total Nacional			Viajero	Total		2021M12	4.881.952
Total Nacional			Viajero	Total		2021M11	5.391.958
Total Nacional			Viajero	Total		2021M10	8.131.666
Total Nacional			Viajero	Total		2021M09	8.256.057
Total Nacional			Viajero	Total		2021M08	10.408.035
Total Nacional			Viajero	Total		2021M07	8.544.001
Total Nacional			Viajero	Total		2021M06	5.676.067
Total Nacional			Viajero	Total		2021M05	3.404.118
Total Nacional			Viajero	Total		2021M04	1.955.719
Total Nacional			Viajero	Total		2021M03	1.770.722
Total Nacional			Viajero	Total		2021M02	1.179.236
Total Nacional			Viajero	Total		2021M01	1.124.601
Total Nacional			Viajero	Total		2020M12	1.417.815
Total Nacional			Viajero	Total		2020M11	1.184.922
Total Nacional			Viajero	Total		2020M10	2.406.759
Total Nacional			Viajero	Total		2020M09	3.513.294
Total Nacional			Viajero	Total		2020M08	5.924.218
Total Nacional			Viajero	Total		2020M07	4.407.783
Total Nacional			Viajero	Total		2020M06	944.923
Total Nacional			Viajero	Total		2020M05	98.561
Total Nacional			Viajero	Total		2020M04	0
Total Nacional			Viajero	Total		2020M03	2.656.776
Total Nacional			Viajero	Total		2020M02	6.456.402
Total Nacional			Viajero	Total		2020M01	5.577.618
Total Nacional			Viajero	Total		2019M12	6.240.788
Total Nacional			Viajero	Total		2019M11	6.693.210
Total Nacional			Viajero	Total		2019M10	9.772.631
Total Nacional			Viajero	Total		2019M09	11.038.778
Total Nacional			Viajero	Total		2019M08	13.028.096
Total Nacional			Viajero	Total		2019M07	12.124.664
Total Nacional			Viajero	Total		2019M06	11.371.775
Total Nacional			Viajero	Total		2019M05	10.509.949
Total Nacional			Viajero	Total		2019M04	9.138.989
Total Nacional			Viajero	Total		2019M03	7.534.311
Total Nacional			Viajero	Total		2019M02	6.011.298
Total Nacional			Viajero	Total		2019M01	5.251.558
Total Nacional			Viajero	Total		2018M12	6.071.139
Total Nacional			Viajero	Total		2018M11	6.485.702
Total Nacional			Viajero	Total		2018M10	9.666.570
Total Nacional			Viajero	Total		2018M09	11.000.902
Total Nacional			Viajero	Total		2018M08	12.500.596
Total Nacional			Viajero	Total		2018M07	11.707.840
Total Nacional			Viajero	Total		2018M06	10.846.347
Total Nacional			Viajero	Total		2018M05	10.040.281
Total Nacional			Viajero	Total		2018M04	8.499.926
Total Nacional			Viajero	Total		2018M03	7.532.288
Total Nacional			Viajero	Total		2018M02	5.826.145
Total Nacional			Viajero	Total		2018M01	5.133.729
Total Nacional			Viajero	Total		2017M12	5.805.767
Total Nacional			Viajero	Total		2017M11	6.068.289
Total Nacional			Viajero	Total		2017M10	9.458.368
Total Nacional			Viajero	Total		2017M09	10.933.324
Total Nacional			Viajero	Total		2017M08	12.338.502
Total Nacional			Viajero	Total		2017M07	11.910.574
Total Nacional			Viajero	Total		2017M06	10.640.606
Total Nacional			Viajero	Total		2017M05	9.844.007
Total Nacional			Viajero	Total		2017M04	9.209.286
Total Nacional			Viajero	Total		2017M03	6.921.086
Total Nacional			Viajero	Total		2017M02	5.689.624
Total Nacional			Viajero	Total		2017M01	4.984.634
Total Nacional			Viajero	Total		2016M12	5.540.097
Total Nacional			Viajero	Total		2016M11	5.786.675
Total Nacional			Viajero	Total		2016M10	9.274.924
Total Nacional			Viajero	Total		2016M09	10.486.719
Total Nacional			Viajero	Total		2016M08	12.187.504
Total Nacional			Viajero	Total		2016M07	11.605.320
Total Nacional			Viajero	Total		2016M06	10.180.427
Total Nacional			Viajero	Total		2016M05	9.569.945
Total Nacional			Viajero	Total		2016M04	7.735.455
Total Nacional			Viajero	Total		2016M03	7.221.796
Total Nacional			Viajero	Total		2016M02	5.561.906
Total Nacional			Viajero	Total		2016M01	4.689.264
Total Nacional			Viajero	Total		2015M12	5.318.037
Total Nacional			Viajero	Total		2015M11	5.509.265
Total Nacional			Viajero	Total		2015M10	8.685.869
Total Nacional			Viajero	Total		2015M09	9.766.395
Total Nacional			Viajero	Total		2015M08	11.747.649
Total Nacional			Viajero	Total		2015M07	10.616.662
Total Nacional			Viajero	Total		2015M06	9.481.768
Total Nacional			Viajero	Total		2015M05	9.087.139
Total Nacional			Viajero	Total		2015M04	7.668.482
Total Nacional			Viajero	Total		2015M03	6.146.078
Total Nacional			Viajero	Total		2015M02	4.937.718
Total Nacional			Viajero	Total		2015M01	4.251.906
Total Nacional			Viajero	Total		2014M12	4.998.810
Total Nacional			Viajero	Total		2014M11	5.144.062
Total Nacional			Viajero	Total		2014M10	7.988.684
Total Nacional			Viajero	Total		2014M09	9.342.635
Total Nacional			Viajero	Total		2014M08	11.228.638
Total Nacional			Viajero	Total		2014M07	9.885.449
Total Nacional			Viajero	Total		2014M06	9.038.987
Total Nacional			Viajero	Total		2014M05	8.518.421
Total Nacional			Viajero	Total		2014M04	7.301.730
Total Nacional			Viajero	Total		2014M03	5.770.836
Total Nacional			Viajero	Total		2014M02	4.657.133
Total Nacional			Viajero	Total		2014M01	3.939.144
Total Nacional			Viajero	Total		2013M12	4.659.511
Total Nacional			Viajero	Total		2013M11	5.112.181
Total Nacional			Viajero	Total		2013M10	7.468.192
Total Nacional			Viajero	Total		2013M09	8.886.542
Total Nacional			Viajero	Total		2013M08	10.715.764
Total Nacional			Viajero	Total		2013M07	9.644.412
Total Nacional			Viajero	Total		2013M06	8.725.022
Total Nacional			Viajero	Total		2013M05	8.113.029
Total Nacional			Viajero	Total		2013M04	6.283.128
Total Nacional			Viajero	Total		2013M03	6.171.037
Total Nacional			Viajero	Total		2013M02	4.347.642
Total Nacional			Viajero	Total		2013M01	3.694.459
Total Nacional			Viajero	Total		2012M12	4.334.680
Total Nacional			Viajero	Total		2012M11	4.772.075
Total Nacional			Viajero	Total		2012M10	7.258.395
Total Nacional			Viajero	Total		2012M09	8.756.163
Total Nacional			Viajero	Total		2012M08	10.239.776
Total Nacional			Viajero	Total		2012M07	9.616.052
Total Nacional			Viajero	Total		2012M06	8.587.613
Total Nacional			Viajero	Total		2012M05	7.725.234
Total Nacional			Viajero	Total		2012M04	7.103.715
Total Nacional			Viajero	Total		2012M03	5.771.561
Total Nacional			Viajero	Total		2012M02	4.762.348
Total Nacional			Viajero	Total		2012M01	4.034.869
Total Nacional			Viajero	Total		2011M12	4.594.592
Total Nacional			Viajero	Total		2011M11	4.902.197
Total Nacional			Viajero	Total		2011M10	7.673.432
Total Nacional			Viajero	Total		2011M09	8.916.593
Total Nacional			Viajero	Total		2011M08	10.608.293
Total Nacional			Viajero	Total		2011M07	10.051.429
Total Nacional			Viajero	Total		2011M06	8.809.958
Total Nacional			Viajero	Total		2011M05	7.797.227
Total Nacional			Viajero	Total		2011M04	7.423.129
Total Nacional			Viajero	Total		2011M03	5.829.113
Total Nacional			Viajero	Total		2011M02	4.831.381
Total Nacional			Viajero	Total		2011M01	3.929.632
Total Nacional			Viajero	Total		2010M12	4.650.521
Total Nacional			Viajero	Total		2010M11	4.976.017
Total Nacional			Viajero	Total		2010M10	7.679.996
Total Nacional			Viajero	Total		2010M09	8.400.100
Total Nacional			Viajero	Total		2010M08	10.014.468
Total Nacional			Viajero	Total		2010M07	9.399.554
Total Nacional			Viajero	Total		2010M06	8.087.317
Total Nacional			Viajero	Total		2010M05	7.810.020
Total Nacional			Viajero	Total		2010M04	6.786.265
Total Nacional			Viajero	Total		2010M03	5.706.500
Total Nacional			Viajero	Total		2010M02	4.610.953
Total Nacional			Viajero	Total		2010M01	3.767.159
Total Nacional			Viajero	Total		2009M12	4.435.027
Total Nacional			Viajero	Total		2009M11	4.710.822
Total Nacional			Viajero	Total		2009M10	7.011.612
Total Nacional			Viajero	Total		2009M09	7.827.994
Total Nacional			Viajero	Total		2009M08	9.423.345
Total Nacional			Viajero	Total		2009M07	8.712.905
Total Nacional			Viajero	Total		2009M06	7.630.129
Total Nacional			Viajero	Total		2009M05	7.378.804
Total Nacional			Viajero	Total		2009M04	6.542.718
Total Nacional			Viajero	Total		2009M03	5.303.127
Total Nacional			Viajero	Total		2009M02	4.447.323
Total Nacional			Viajero	Total		2009M01	3.716.510
Total Nacional			Viajero	Total		2008M12	4.326.374
Total Nacional			Viajero	Total		2008M11	4.870.882
Total Nacional			Viajero	Total		2008M10	7.035.977
Total Nacional			Viajero	Total		2008M09	8.359.855
Total Nacional			Viajero	Total		2008M08	9.954.774
Total Nacional			Viajero	Total		2008M07	9.219.035
Total Nacional			Viajero	Total		2008M06	8.280.336
Total Nacional			Viajero	Total		2008M05	8.109.904
Total Nacional			Viajero	Total		2008M04	6.656.665
Total Nacional			Viajero	Total		2008M03	6.614.348
Total Nacional			Viajero	Total		2008M02	5.242.247
Total Nacional			Viajero	Total		2008M01	4.328.480
Total Nacional			Viajero	Total		2007M12	4.771.361
Total Nacional			Viajero	Total		2007M11	5.534.255
Total Nacional			Viajero	Total		2007M10	7.540.505
Total Nacional			Viajero	Total		2007M09	8.621.798
Total Nacional			Viajero	Total		2007M08	10.025.687
Total Nacional			Viajero	Total		2007M07	9.176.950
Total Nacional			Viajero	Total		2007M06	8.555.535
Total Nacional			Viajero	Total		2007M05	7.639.348
Total Nacional			Viajero	Total		2007M04	7.394.418
Total Nacional			Viajero	Total		2007M03	6.151.952
Total Nacional			Viajero	Total		2007M02	4.853.246
Total Nacional			Viajero	Total		2007M01	4.158.378
Total Nacional			Viajero	Total		2006M12	4.672.741
Total Nacional			Viajero	Total		2006M11	5.114.939
Total Nacional			Viajero	Total		2006M10	7.357.196
Total Nacional			Viajero	Total		2006M09	8.420.366
Total Nacional			Viajero	Total		2006M08	9.713.364
Total Nacional			Viajero	Total		2006M07	9.057.841
Total Nacional			Viajero	Total		2006M06	8.156.578
Total Nacional			Viajero	Total		2006M05	7.591.789
Total Nacional			Viajero	Total		2006M04	7.293.282
Total Nacional			Viajero	Total		2006M03	5.763.835
Total Nacional			Viajero	Total		2006M02	4.709.293
Total Nacional			Viajero	Total		2006M01	4.004.676
Total Nacional			Viajero	Total		2005M12	4.030.203
Total Nacional			Viajero	Total		2005M11	4.511.989
Total Nacional			Viajero	Total		2005M10	6.414.668
Total Nacional			Viajero	Total		2005M09	7.442.751
Total Nacional			Viajero	Total		2005M08	8.555.081
Total Nacional			Viajero	Total		2005M07	7.795.374
Total Nacional			Viajero	Total		2005M06	6.971.240
Total Nacional			Viajero	Total		2005M05	6.737.689
Total Nacional			Viajero	Total		2005M04	5.516.765
Total Nacional			Viajero	Total		2005M03	5.247.632
Total Nacional			Viajero	Total		2005M02	4.048.915
Total Nacional			Viajero	Total		2005M01	3.356.718
Total Nacional			Viajero	Total		2004M12	3.877.669
Total Nacional			Viajero	Total		2004M11	4.135.114
Total Nacional			Viajero	Total		2004M10	6.227.271
Total Nacional			Viajero	Total		2004M09	6.996.313
Total Nacional			Viajero	Total		2004M08	8.174.422
Total Nacional			Viajero	Total		2004M07	7.232.976
Total Nacional			Viajero	Total		2004M06	6.525.030
Total Nacional			Viajero	Total		2004M05	6.211.439
Total Nacional			Viajero	Total		2004M04	5.591.761
Total Nacional			Viajero	Total		2004M03	4.735.606
Total Nacional			Viajero	Total		2004M02	3.970.007
Total Nacional			Viajero	Total		2004M01	3.153.660
Total Nacional			Viajero	Total		2003M12	3.588.510
Total Nacional			Viajero	Total		2003M11	3.868.099
Total Nacional			Viajero	Total		2003M10	5.537.248
Total Nacional			Viajero	Total		2003M09	6.517.598
Total Nacional			Viajero	Total		2003M08	7.697.588
Total Nacional			Viajero	Total		2003M07	6.795.963
Total Nacional			Viajero	Total		2003M06	6.276.681
Total Nacional			Viajero	Total		2003M05	5.984.961
Total Nacional			Viajero	Total		2003M04	5.408.500
Total Nacional			Viajero	Total		2003M03	4.421.552
Total Nacional			Viajero	Total		2003M02	3.463.674
Total Nacional			Viajero	Total		2003M01	2.971.006
Total Nacional			Viajero	Total		2002M12	3.383.399
Total Nacional			Viajero	Total		2002M11	3.714.810
Total Nacional			Viajero	Total		2002M10	5.360.250
Total Nacional			Viajero	Total		2002M09	6.224.753
Total Nacional			Viajero	Total		2002M08	7.383.775
Total Nacional			Viajero	Total		2002M07	6.407.711
Total Nacional			Viajero	Total		2002M06	5.725.690
Total Nacional			Viajero	Total		2002M05	5.677.357
Total Nacional			Viajero	Total		2002M04	4.853.120
Total Nacional			Viajero	Total		2002M03	4.756.621
Total Nacional			Viajero	Total		2002M02	3.507.891
Total Nacional			Viajero	Total		2002M01	2.873.435
Total Nacional			Viajero	Total		2001M12	3.214.821
Total Nacional			Viajero	Total		2001M11	3.657.828
Total Nacional			Viajero	Total		2001M10	5.310.403
Total Nacional			Viajero	Total		2001M09	6.307.038
Total Nacional			Viajero	Total		2001M08	7.179.051
Total Nacional			Viajero	Total		2001M07	6.405.959
Total Nacional			Viajero	Total		2001M06	5.914.352
Total Nacional			Viajero	Total		2001M05	5.673.119
Total Nacional			Viajero	Total		2001M04	5.384.678
Total Nacional			Viajero	Total		2001M03	4.333.254
Total Nacional			Viajero	Total		2001M02	3.518.883
Total Nacional			Viajero	Total		2001M01	3.004.915
Total Nacional			Viajero	Total		2000M12	3.347.855
Total Nacional			Viajero	Total		2000M11	3.691.092
Total Nacional			Viajero	Total		2000M10	5.368.961
Total Nacional			Viajero	Total		2000M09	6.327.590
Total Nacional			Viajero	Total		2000M08	6.994.683
Total Nacional			Viajero	Total		2000M07	6.374.389
Total Nacional			Viajero	Total		2000M06	5.806.706
Total Nacional			Viajero	Total		2000M05	5.592.100
Total Nacional			Viajero	Total		2000M04	5.335.325
Total Nacional			Viajero	Total		2000M03	4.244.207
Total Nacional			Viajero	Total		2000M02	3.390.877
Total Nacional			Viajero	Total		2000M01	2.808.737
Total Nacional			Viajero	Total		1999M12	3.204.082
Total Nacional			Viajero	Total		1999M11	3.570.715
Total Nacional			Viajero	Total		1999M10	5.447.890
Total Nacional			Viajero	Total		1999M09	6.349.504
Total Nacional			Viajero	Total		1999M08	6.986.211
Total Nacional			Viajero	Total		1999M07	6.415.298
Total Nacional			Viajero	Total		1999M06	5.834.331
Total Nacional			Viajero	Total		1999M05	5.724.555
Total Nacional			Viajero	Total		1999M04	4.931.385
Total Nacional			Viajero	Total		1999M03	4.143.343
Total Nacional			Viajero	Total		1999M02	3.205.892
Total Nacional			Viajero	Total		1999M01	2.775.738
Total Nacional			Viajero	Total	Residentes en España	2026M01	2.942.666
Total Nacional			Viajero	Total	Residentes en España	2025M12	3.777.442
Total Nacional			Viajero	Total	Residentes en España	2025M11	3.819.809
Total Nacional			Viajero	Total	Residentes en España	2025M10	4.645.026
Total Nacional			Viajero	Total	Residentes en España	2025M09	5.085.693
Total Nacional			Viajero	Total	Residentes en España	2025M08	6.409.255
Total Nacional			Viajero	Total	Residentes en España	2025M07	5.842.459
Total Nacional			Viajero	Total	Residentes en España	2025M06	5.440.374
Total Nacional			Viajero	Total	Residentes en España	2025M05	4.933.125
Total Nacional			Viajero	Total	Residentes en España	2025M04	4.547.495
Total Nacional			Viajero	Total	Residentes en España	2025M03	3.780.529
Total Nacional			Viajero	Total	Residentes en España	2025M02	3.419.893
Total Nacional			Viajero	Total	Residentes en España	2025M01	2.916.184
Total Nacional			Viajero	Total	Residentes en España	2024M12	3.645.324
Total Nacional			Viajero	Total	Residentes en España	2024M11	3.755.355
Total Nacional			Viajero	Total	Residentes en España	2024M10	4.523.969
Total Nacional			Viajero	Total	Residentes en España	2024M09	4.991.258
Total Nacional			Viajero	Total	Residentes en España	2024M08	6.363.350
Total Nacional			Viajero	Total	Residentes en España	2024M07	5.756.518
Total Nacional			Viajero	Total	Residentes en España	2024M06	5.419.681
Total Nacional			Viajero	Total	Residentes en España	2024M05	4.928.517
Total Nacional			Viajero	Total	Residentes en España	2024M04	4.181.084
Total Nacional			Viajero	Total	Residentes en España	2024M03	4.412.670
Total Nacional			Viajero	Total	Residentes en España	2024M02	3.422.317
Total Nacional			Viajero	Total	Residentes en España	2024M01	2.919.329
Total Nacional			Viajero	Total	Residentes en España	2023M12	3.736.128
Total Nacional			Viajero	Total	Residentes en España	2023M11	3.586.759
Total Nacional			Viajero	Total	Residentes en España	2023M10	4.589.155
Total Nacional			Viajero	Total	Residentes en España	2023M09	5.122.862
Total Nacional			Viajero	Total	Residentes en España	2023M08	6.381.789
Total Nacional			Viajero	Total	Residentes en España	2023M07	6.012.479
Total Nacional			Viajero	Total	Residentes en España	2023M06	5.455.490
Total Nacional			Viajero	Total	Residentes en España	2023M05	4.553.381
Total Nacional			Viajero	Total	Residentes en España	2023M04	4.983.861
Total Nacional			Viajero	Total	Residentes en España	2023M03	3.983.218
Total Nacional			Viajero	Total	Residentes en España	2023M02	3.337.995
Total Nacional			Viajero	Total	Residentes en España	2023M01	2.964.949
Total Nacional			Viajero	Total	Residentes en España	2022M12	3.567.132
Total Nacional			Viajero	Total	Residentes en España	2022M11	3.541.109
Total Nacional			Viajero	Total	Residentes en España	2022M10	4.657.750
Total Nacional			Viajero	Total	Residentes en España	2022M09	5.178.258
Total Nacional			Viajero	Total	Residentes en España	2022M08	6.526.507
Total Nacional			Viajero	Total	Residentes en España	2022M07	6.075.062
Total Nacional			Viajero	Total	Residentes en España	2022M06	5.422.886
Total Nacional			Viajero	Total	Residentes en España	2022M05	4.672.236
Total Nacional			Viajero	Total	Residentes en España	2022M04	4.733.976
Total Nacional			Viajero	Total	Residentes en España	2022M03	3.432.900
Total Nacional			Viajero	Total	Residentes en España	2022M02	3.164.177
Total Nacional			Viajero	Total	Residentes en España	2022M01	2.342.492
Total Nacional			Viajero	Total	Residentes en España	2021M12	3.164.988
Total Nacional			Viajero	Total	Residentes en España	2021M11	3.218.059
Total Nacional			Viajero	Total	Residentes en España	2021M10	4.590.112
Total Nacional			Viajero	Total	Residentes en España	2021M09	4.952.050
Total Nacional			Viajero	Total	Residentes en España	2021M08	6.935.006
Total Nacional			Viajero	Total	Residentes en España	2021M07	5.772.248
Total Nacional			Viajero	Total	Residentes en España	2021M06	4.179.628
Total Nacional			Viajero	Total	Residentes en España	2021M05	2.580.060
Total Nacional			Viajero	Total	Residentes en España	2021M04	1.559.023
Total Nacional			Viajero	Total	Residentes en España	2021M03	1.456.708
Total Nacional			Viajero	Total	Residentes en España	2021M02	975.226
Total Nacional			Viajero	Total	Residentes en España	2021M01	889.575
Total Nacional			Viajero	Total	Residentes en España	2020M12	1.097.429
Total Nacional			Viajero	Total	Residentes en España	2020M11	925.018
Total Nacional			Viajero	Total	Residentes en España	2020M10	1.917.987
Total Nacional			Viajero	Total	Residentes en España	2020M09	2.905.879
Total Nacional			Viajero	Total	Residentes en España	2020M08	4.648.568
Total Nacional			Viajero	Total	Residentes en España	2020M07	3.271.958
Total Nacional			Viajero	Total	Residentes en España	2020M06	824.393
Total Nacional			Viajero	Total	Residentes en España	2020M05	84.804
Total Nacional			Viajero	Total	Residentes en España	2020M04	0
Total Nacional			Viajero	Total	Residentes en España	2020M03	1.455.613
Total Nacional			Viajero	Total	Residentes en España	2020M02	3.636.463
Total Nacional			Viajero	Total	Residentes en España	2020M01	2.926.703
Total Nacional			Viajero	Total	Residentes en España	2019M12	3.577.792
Total Nacional			Viajero	Total	Residentes en España	2019M11	3.585.911
Total Nacional			Viajero	Total	Residentes en España	2019M10	4.321.124
Total Nacional			Viajero	Total	Residentes en España	2019M09	4.809.515
Total Nacional			Viajero	Total	Residentes en España	2019M08	6.432.729
Total Nacional			Viajero	Total	Residentes en España	2019M07	5.669.457
Total Nacional			Viajero	Total	Residentes en España	2019M06	5.183.371
Total Nacional			Viajero	Total	Residentes en España	2019M05	4.578.814
Total Nacional			Viajero	Total	Residentes en España	2019M04	4.470.668
Total Nacional			Viajero	Total	Residentes en España	2019M03	4.033.782
Total Nacional			Viajero	Total	Residentes en España	2019M02	3.315.368
Total Nacional			Viajero	Total	Residentes en España	2019M01	2.755.656
Total Nacional			Viajero	Total	Residentes en España	2018M12	3.494.108
Total Nacional			Viajero	Total	Residentes en España	2018M11	3.551.431
Total Nacional			Viajero	Total	Residentes en España	2018M10	4.354.922
Total Nacional			Viajero	Total	Residentes en España	2018M09	4.840.570
Total Nacional			Viajero	Total	Residentes en España	2018M08	6.181.557
Total Nacional			Viajero	Total	Residentes en España	2018M07	5.380.698
Total Nacional			Viajero	Total	Residentes en España	2018M06	4.868.754
Total Nacional			Viajero	Total	Residentes en España	2018M05	4.250.360
Total Nacional			Viajero	Total	Residentes en España	2018M04	4.154.873
Total Nacional			Viajero	Total	Residentes en España	2018M03	4.136.756
Total Nacional			Viajero	Total	Residentes en España	2018M02	3.208.522
Total Nacional			Viajero	Total	Residentes en España	2018M01	2.743.159
Total Nacional			Viajero	Total	Residentes en España	2017M12	3.461.708
Total Nacional			Viajero	Total	Residentes en España	2017M11	3.340.928
Total Nacional			Viajero	Total	Residentes en España	2017M10	4.302.582
Total Nacional			Viajero	Total	Residentes en España	2017M09	4.762.659
Total Nacional			Viajero	Total	Residentes en España	2017M08	5.970.747
Total Nacional			Viajero	Total	Residentes en España	2017M07	5.453.609
Total Nacional			Viajero	Total	Residentes en España	2017M06	4.785.681
Total Nacional			Viajero	Total	Residentes en España	2017M05	4.177.945
Total Nacional			Viajero	Total	Residentes en España	2017M04	4.688.384
Total Nacional			Viajero	Total	Residentes en España	2017M03	3.706.176
Total Nacional			Viajero	Total	Residentes en España	2017M02	3.157.734
Total Nacional			Viajero	Total	Residentes en España	2017M01	2.655.015
Total Nacional			Viajero	Total	Residentes en España	2016M12	3.231.853
Total Nacional			Viajero	Total	Residentes en España	2016M11	3.186.298
Total Nacional			Viajero	Total	Residentes en España	2016M10	4.358.634
Total Nacional			Viajero	Total	Residentes en España	2016M09	4.672.782
Total Nacional			Viajero	Total	Residentes en España	2016M08	5.993.466
Total Nacional			Viajero	Total	Residentes en España	2016M07	5.504.356
Total Nacional			Viajero	Total	Residentes en España	2016M06	4.723.090
Total Nacional			Viajero	Total	Residentes en España	2016M05	4.197.064
Total Nacional			Viajero	Total	Residentes en España	2016M04	3.755.761
Total Nacional			Viajero	Total	Residentes en España	2016M03	4.110.169
Total Nacional			Viajero	Total	Residentes en España	2016M02	3.191.750
Total Nacional			Viajero	Total	Residentes en España	2016M01	2.618.022
Total Nacional			Viajero	Total	Residentes en España	2015M12	3.220.404
Total Nacional			Viajero	Total	Residentes en España	2015M11	3.055.877
Total Nacional			Viajero	Total	Residentes en España	2015M10	4.137.843
Total Nacional			Viajero	Total	Residentes en España	2015M09	4.504.038
Total Nacional			Viajero	Total	Residentes en España	2015M08	5.945.162
Total Nacional			Viajero	Total	Residentes en España	2015M07	5.175.659
Total Nacional			Viajero	Total	Residentes en España	2015M06	4.587.906
Total Nacional			Viajero	Total	Residentes en España	2015M05	4.102.767
Total Nacional			Viajero	Total	Residentes en España	2015M04	4.031.142
Total Nacional			Viajero	Total	Residentes en España	2015M03	3.490.443
Total Nacional			Viajero	Total	Residentes en España	2015M02	2.878.965
Total Nacional			Viajero	Total	Residentes en España	2015M01	2.393.392
Total Nacional			Viajero	Total	Residentes en España	2014M12	3.062.373
Total Nacional			Viajero	Total	Residentes en España	2014M11	2.962.597
Total Nacional			Viajero	Total	Residentes en España	2014M10	3.801.189
Total Nacional			Viajero	Total	Residentes en España	2014M09	4.271.468
Total Nacional			Viajero	Total	Residentes en España	2014M08	5.684.286
Total Nacional			Viajero	Total	Residentes en España	2014M07	4.798.578
Total Nacional			Viajero	Total	Residentes en España	2014M06	4.270.431
Total Nacional			Viajero	Total	Residentes en España	2014M05	3.901.968
Total Nacional			Viajero	Total	Residentes en España	2014M04	3.840.663
Total Nacional			Viajero	Total	Residentes en España	2014M03	3.161.425
Total Nacional			Viajero	Total	Residentes en España	2014M02	2.739.686
Total Nacional			Viajero	Total	Residentes en España	2014M01	2.188.084
Total Nacional			Viajero	Total	Residentes en España	2013M12	2.830.104
Total Nacional			Viajero	Total	Residentes en España	2013M11	2.962.040
Total Nacional			Viajero	Total	Residentes en España	2013M10	3.529.310
Total Nacional			Viajero	Total	Residentes en España	2013M09	4.055.351
Total Nacional			Viajero	Total	Residentes en España	2013M08	5.426.618
Total Nacional			Viajero	Total	Residentes en España	2013M07	4.622.498
Total Nacional			Viajero	Total	Residentes en España	2013M06	4.109.160
Total Nacional			Viajero	Total	Residentes en España	2013M05	3.678.011
Total Nacional			Viajero	Total	Residentes en España	2013M04	3.107.991
Total Nacional			Viajero	Total	Residentes en España	2013M03	3.596.941
Total Nacional			Viajero	Total	Residentes en España	2013M02	2.543.898
Total Nacional			Viajero	Total	Residentes en España	2013M01	2.107.452
Total Nacional			Viajero	Total	Residentes en España	2012M12	2.644.571
Total Nacional			Viajero	Total	Residentes en España	2012M11	2.730.498
Total Nacional			Viajero	Total	Residentes en España	2012M10	3.551.117
Total Nacional			Viajero	Total	Residentes en España	2012M09	4.020.495
Total Nacional			Viajero	Total	Residentes en España	2012M08	5.213.797
Total Nacional			Viajero	Total	Residentes en España	2012M07	4.578.014
Total Nacional			Viajero	Total	Residentes en España	2012M06	4.164.269
Total Nacional			Viajero	Total	Residentes en España	2012M05	3.610.640
Total Nacional			Viajero	Total	Residentes en España	2012M04	3.877.984
