establecimiento,tipo,categoria,nombre,municipio,web,telefono,wikidata,imagen municipio,poblacion municipio,longitud,latitud
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CARRILES ROMANOS,Castrillo de Cabrera,www.carrilesromanos.es,629158842,http://www.wikidata.org/entity/Q141252,https://www.wikidata.org/wiki/Q141252#/media/File:Noceda_de_Cabrera1.JPG,106,-6.593683,42.34811299906066
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,NUESTRA SEÑORA DE LOURDES,Hospital de Órbigo,,987388253,http://www.wikidata.org/entity/Q848293,https://www.wikidata.org/wiki/Q848293#/media/File:Puente_del_Paso_Honroso_en_Hospital_de_Orbigo.jpg,981,-5.8819108,42.46361439906032
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA TRALLERA,Igüeña,WWW.COLINASDELCAMPO.ES,676415797,http://www.wikidata.org/entity/Q44791,https://www.wikidata.org/wiki/Q44791#/media/File:,1108,-6.291554999999999,42.76901699905949
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA GORTINA,Igüeña,,987519566,http://www.wikidata.org/entity/Q44791,https://www.wikidata.org/wiki/Q44791#/media/File:,1108,-6.292793999999999,42.76901599905949
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA CENTRAL DE ROBLEDO,Magaz de Cepeda,,987636018,http://www.wikidata.org/entity/Q141235,https://www.wikidata.org/wiki/Q141235#/media/File:Magaz_de_Cepeda.jpg,357,-6.0740204,42.53924139906011
Alojam. Turismo Rural,Casa Rural de Alojamiento Compartido,2 Estrellas,CASA JOACO,Mansilla Mayor,www.casajoaco.com,987310062,http://www.wikidata.org/entity/Q141177,"https://www.wikidata.org/wiki/Q141177#/media/File:Plaza_del_Ayuntamiento,_Mansilla_Mayor.jpg",327,-5.4426935,42.509312099060196
Alojam. Turismo Rural,Casa Rural de Alojamiento Compartido,2 Estrellas,LA TRUCHA DEL ARCO IRIS,Molinaseca,WWW.CASARURALACEBO.COM,987695548,http://www.wikidata.org/entity/Q44873,https://www.wikidata.org/wiki/Q44873#/media/File:Molinaseca_Bridge_2005.jpg,851,-6.457425000000001,42.49869499906023
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,ABUELO JOSE I,Noceda del Bierzo,www.abuelojose.com,987511980,http://www.wikidata.org/entity/Q44799,https://www.wikidata.org/wiki/Q44799#/media/File:Noceda_del_Bierzo_(León)_(03).jpg,612,-6.4024279,42.70636579905966
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA DO CONCELLO,Oencia,www.casadoconcello.com,987421647,http://www.wikidata.org/entity/Q1617652,https://www.wikidata.org/wiki/Q1617652#/media/File:Oencia-iglesia1.jpg,267,-6.9772844,42.53400599906012
Alojam. Turismo Rural,Casa Rural,2 Estrellas,LOS DE LA CENTRAL,Oseja de Sajambre,,655854178,http://www.wikidata.org/entity/Q1640150,https://www.wikidata.org/wiki/Q1640150#/media/File:VistaDeOsejaDeSajambre2.jpg,236,-5.04823,43.124324999058686
Alojam. Turismo Rural,Casa Rural,2 Estrellas,LA CASA DE MARTINA,Oseja de Sajambre,,651190831,http://www.wikidata.org/entity/Q1640150,https://www.wikidata.org/wiki/Q1640150#/media/File:VistaDeOsejaDeSajambre2.jpg,236,-5.054468,43.141265999058646
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,SEÑORIO DE LOS BAZAN,Palacios de la Valduerna,www.senoriodelosbazan.com,987665628,http://www.wikidata.org/entity/Q137186,https://www.wikidata.org/wiki/Q137186#/media/File:Plaza_del_grande.jpg,366,-5.9342131,42.32683819906072
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA ALBINA,Palacios del Sil,,987488054,http://www.wikidata.org/entity/Q1391476,https://www.wikidata.org/wiki/Q1391476#/media/File:Tejedo.jpg,886,-6.4992605,42.84179399905932
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,EL CORREDOR,La Pola de Gordón,,647852197,http://www.wikidata.org/entity/Q1605928,https://www.wikidata.org/wiki/Q1605928#/media/File:La_Pola_de_Gordón_-_Ayuntamiento_01.jpg,2929,-5.6815666,42.86756489905926
