Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2022,2022-01-01,08001,Indústria,De 00:00:00 a 05:59:59 h,817
2022,2022-01-01,08001,Indústria,De 06:00:00 a 11:59:59 h,942
2022,2022-01-01,08001,Indústria,De 12:00:00 a 17:59:59 h,1145
2022,2022-01-01,08001,Indústria,De 18:00:00 a 23:59:59 h,1184
2022,2022-01-01,08001,Indústria,No consta,0
2022,2022-01-01,08001,Residencial,De 00:00:00 a 05:59:59 h,24464
2022,2022-01-01,08001,Residencial,De 06:00:00 a 11:59:59 h,24860
2022,2022-01-01,08001,Residencial,De 12:00:00 a 17:59:59 h,36160
2022,2022-01-01,08001,Residencial,De 18:00:00 a 23:59:59 h,38349
2022,2022-01-01,08001,Residencial,No consta,0
2022,2022-01-01,08001,Serveis,De 00:00:00 a 05:59:59 h,35722
2022,2022-01-01,08001,Serveis,De 06:00:00 a 11:59:59 h,44702
2022,2022-01-01,08001,Serveis,De 12:00:00 a 17:59:59 h,49725
2022,2022-01-01,08001,Serveis,De 18:00:00 a 23:59:59 h,50526
2022,2022-01-01,08001,Serveis,No consta,0
2022,2022-01-01,08002,Indústria,De 00:00:00 a 05:59:59 h,2103
2022,2022-01-01,08002,Indústria,De 06:00:00 a 11:59:59 h,2838
2022,2022-01-01,08002,Indústria,De 12:00:00 a 17:59:59 h,2753
2022,2022-01-01,08002,Indústria,De 18:00:00 a 23:59:59 h,2814
2022,2022-01-01,08002,Indústria,No consta,0
2022,2022-01-01,08002,Residencial,De 00:00:00 a 05:59:59 h,18087
2022,2022-01-01,08002,Residencial,De 06:00:00 a 11:59:59 h,19234
2022,2022-01-01,08002,Residencial,De 12:00:00 a 17:59:59 h,25714
2022,2022-01-01,08002,Residencial,De 18:00:00 a 23:59:59 h,27642
2022,2022-01-01,08002,Residencial,No consta,0
2022,2022-01-01,08002,Serveis,De 00:00:00 a 05:59:59 h,59921
2022,2022-01-01,08002,Serveis,De 06:00:00 a 11:59:59 h,66862
2022,2022-01-01,08002,Serveis,De 12:00:00 a 17:59:59 h,75709
2022,2022-01-01,08002,Serveis,De 18:00:00 a 23:59:59 h,78840
2022,2022-01-01,08002,Serveis,No consta,0
2022,2022-01-01,08003,Indústria,De 00:00:00 a 05:59:59 h,2667
2022,2022-01-01,08003,Indústria,De 06:00:00 a 11:59:59 h,3446
2022,2022-01-01,08003,Indústria,De 12:00:00 a 17:59:59 h,3005
2022,2022-01-01,08003,Indústria,De 18:00:00 a 23:59:59 h,2709
2022,2022-01-01,08003,Indústria,No consta,0
2022,2022-01-01,08003,Residencial,De 00:00:00 a 05:59:59 h,29314
2022,2022-01-01,08003,Residencial,De 06:00:00 a 11:59:59 h,30554
2022,2022-01-01,08003,Residencial,De 12:00:00 a 17:59:59 h,42844
2022,2022-01-01,08003,Residencial,De 18:00:00 a 23:59:59 h,46508
2022,2022-01-01,08003,Residencial,No consta,0
