Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2021,2021-01-01,08001,Indústria,De 00:00:00 a 05:59:59 h,692
2021,2021-01-01,08001,Indústria,De 06:00:00 a 11:59:59 h,790
2021,2021-01-01,08001,Indústria,De 12:00:00 a 17:59:59 h,1178
2021,2021-01-01,08001,Indústria,De 18:00:00 a 23:59:59 h,905
2021,2021-01-01,08001,Indústria,No consta,0
2021,2021-01-01,08001,Residencial,De 00:00:00 a 05:59:59 h,30570
2021,2021-01-01,08001,Residencial,De 06:00:00 a 11:59:59 h,30529
2021,2021-01-01,08001,Residencial,De 12:00:00 a 17:59:59 h,50741
2021,2021-01-01,08001,Residencial,De 18:00:00 a 23:59:59 h,52035
2021,2021-01-01,08001,Residencial,No consta,0
2021,2021-01-01,08001,Serveis,De 00:00:00 a 05:59:59 h,24245
2021,2021-01-01,08001,Serveis,De 06:00:00 a 11:59:59 h,30175
2021,2021-01-01,08001,Serveis,De 12:00:00 a 17:59:59 h,34420
2021,2021-01-01,08001,Serveis,De 18:00:00 a 23:59:59 h,31931
2021,2021-01-01,08001,Serveis,No consta,0
2021,2021-01-01,08002,Indústria,De 00:00:00 a 05:59:59 h,1683
2021,2021-01-01,08002,Indústria,De 06:00:00 a 11:59:59 h,2124
2021,2021-01-01,08002,Indústria,De 12:00:00 a 17:59:59 h,2332
2021,2021-01-01,08002,Indústria,De 18:00:00 a 23:59:59 h,1965
2021,2021-01-01,08002,Indústria,No consta,0
2021,2021-01-01,08002,Residencial,De 00:00:00 a 05:59:59 h,22982
2021,2021-01-01,08002,Residencial,De 06:00:00 a 11:59:59 h,23911
2021,2021-01-01,08002,Residencial,De 12:00:00 a 17:59:59 h,34838
2021,2021-01-01,08002,Residencial,De 18:00:00 a 23:59:59 h,35839
2021,2021-01-01,08002,Residencial,No consta,0
2021,2021-01-01,08002,Serveis,De 00:00:00 a 05:59:59 h,53797
2021,2021-01-01,08002,Serveis,De 06:00:00 a 11:59:59 h,61064
2021,2021-01-01,08002,Serveis,De 12:00:00 a 17:59:59 h,73048
2021,2021-01-01,08002,Serveis,De 18:00:00 a 23:59:59 h,71338
2021,2021-01-01,08002,Serveis,No consta,0
2021,2021-01-01,08003,Indústria,De 00:00:00 a 05:59:59 h,1912
2021,2021-01-01,08003,Indústria,De 06:00:00 a 11:59:59 h,2522
2021,2021-01-01,08003,Indústria,De 12:00:00 a 17:59:59 h,2646
2021,2021-01-01,08003,Indústria,De 18:00:00 a 23:59:59 h,2179
2021,2021-01-01,08003,Indústria,No consta,0
