id_terraza,id_local,id_distrito_local,desc_distrito_local,wikidata_distrito,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
2719,270492927,4,Salamanca,http://www.wikidata.org/entity/Q1773521,401,RECOLETOS,11014319,1,360000,CALLE,HERMOSILLA,NUM,39,28001,"442037,58","4475305,51",1,Puerta Calle,1,Abierto,10,,PB,,,,DEFILÉ CAFÉ,1,Anual,1,Abierta,"20,59","20,59",16/06/2015,11014319,1,360000,CALLE,HERMOSILLA,NUM,39,,Zona de estacionamiento,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,01:30:00,10:00:00,00:00:00,0,0,3,3,7,
2720,40000547,4,Salamanca,http://www.wikidata.org/entity/Q1773521,406,CASTELLANA,11020123,1,428100,CALLE,LAGASCA,NUM,119,28006,"441949,59","4476389,52",1,Puerta Calle,1,Abierto,20,,PB,,,,LA SOTA,2,Estacional,1,Abierta,"14,82",,16/06/2015,11020123,1,428100,CALLE,LAGASCA,NUM,119,,Acera,10:00:00,00:00:00,,,10:00:00,00:00:00,,,0,,6,,16,
2722,280010866,1,Centro,http://www.wikidata.org/entity/Q1763376,105,UNIVERSIDAD,11006513,1,710500,CALLE,SERRANO JOVER,NUM,1,28015,"439355,6","4475649,54",1,Puerta Calle,1,Abierto,10,,PB,,,,STARBUCKS COFFEE,1,Anual,1,Abierta,"39,2","39,2",16/06/2015,11006513,1,710500,CALLE,SERRANO JOVER,NUM,1,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,13,13,39,
2725,270247991,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,903,CIUDAD UNIVERSITARIA,11053134,1,98000,CALLE,BEATRIZ DE BOBADILLA,NUM,9,28040,"439384,61","4477687,55",1,Puerta Calle,1,Abierto,20,,PB,,,,SAL GORDA,1,Anual,1,Abierta,56,56,17/06/2015,11053134,1,98000,CALLE,BEATRIZ DE BOBADILLA,NUM,9,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,9,9,36,
2726,280044173,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,902,ARGUELLES,11052276,1,489700,CALLE,MARTIN DE LOS HEROS,NUM,10,28008,"439487,6","4475095,54",1,Puerta Calle,1,Abierto,20,,PB,,,,ASTORGA BAR,1,Anual,1,Abierta,"3,3","3,3",18/06/2015,11052276,1,489700,CALLE,MARTIN DE LOS HEROS,NUM,10,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,2,2,4,
2728,90000081,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,902,ARGUELLES,11052637,1,295600,CALLE,FERRAZ,NUM,39,28008,"438930,61","4475587,54",1,Puerta Calle,1,Abierto,20,,PB,,,,EL LAGAR,1,Anual,1,Abierta,"2,88","2,88",18/06/2015,11052637,1,295600,CALLE,FERRAZ,NUM,39,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,2,2,0,
2729,270538961,5,Chamartín,http://www.wikidata.org/entity/Q1766348,502,PROSPERIDAD,11022324,1,448200,CALLE,LUIS DE SALAZAR,NUM,5,28002,"443471,59","4477656,5",1,Puerta Calle,1,Abierto,50,,PB,,,,100 MONTADITOS,1,Anual,1,Abierta,"68,26","36,38",19/06/2015,11022309,1,210200,CALLE,CORAZON DE MARIA,NUM,61,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,23,13,79,
2730,270020167,5,Chamartín,http://www.wikidata.org/entity/Q1766348,501,EL VISO,11020610,1,88700,CALLE,BALBINA VALVERDE,NUM,2,28002,"441516,59","4477540,52",1,Puerta Calle,1,Abierto,10,,PB,,,,RESTAURANTE JAI ALAI,1,Anual,1,Abierta,"21,44","21,44",19/06/2015,11020728,1,395300,CALLE,JOAQUIN COSTA,NUM,7,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,5,5,20,
2731,280022523,5,Chamartín,http://www.wikidata.org/entity/Q1766348,504,HISPANOAMERICA,11025279,1,203700,AVENIDA,CONCHA ESPINA,NUM,69,28016,"442514,59","4478132,51",1,Puerta Calle,1,Abierto,20,,PB,,,,RODILLA,1,Anual,1,Abierta,"51,69","51,69",19/06/2015,11025279,1,203700,AVENIDA,CONCHA ESPINA,NUM,69,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,11,11,30,
2732,270315689,5,Chamartín,http://www.wikidata.org/entity/Q1766348,505,NUEVA ESPAÑA,11026389,1,610450,CALLE,PRINCIPE DE VERGARA,NUM,285,28016,"442601,6","4478961,51",1,Puerta Calle,1,Abierto,20,,PB,,,,BARRA LATERAL,1,Anual,1,Abierta,"52,33","52,33",19/06/2015,11026389,1,610450,CALLE,PRINCIPE DE VERGARA,NUM,285,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,9,9,36,
2734,270272311,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,1505,SAN PASCUAL,11111066,1,330300,CALLE,CARLOTA O'NEILL,NUM,7,28027,"444719,58","4477028,48",1,Puerta Calle,1,Abierto,10,,PB,,,,LA BIEN TIRA,1,Anual,1,Abierta,"44,31","44,31",22/06/2015,11111066,1,330300,CALLE,CARLOTA O'NEILL,NUM,7,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,13,13,44,
2735,270543726,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,1509,COSTILLARES,20133192,1,125450,CALLE,CALERUEGA,NUM,85,28033,"443412,61","4481615,51",1,Puerta Calle,1,Abierto,10,,PB,,,,LA PARRILLA DEL PINAR,1,Anual,1,Abierta,"12,71","12,71",22/06/2015,20133192,1,125450,CALLE,CALERUEGA,NUM,85,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,2,2,6,6,22,
2736,280058807,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1306,NUMANCIA,11099197,1,630550,CALLE,RAMON PEREZ DE AYALA,NUM,112,28038,"444650,56","4472238,47",1,Puerta Calle,1,Abierto,30,,PB,,,,BAR EL PICOTEO,2,Estacional,1,Abierta,16,,23/06/2015,11099197,1,630550,CALLE,RAMON PEREZ DE AYALA,NUM,112,,Otros,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,4,,16,
2737,270547000,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,1104,VISTA ALEGRE,11074731,1,346300,CALLE,GUABAIRO,NUM,8,28047,"436731,6","4470986,55",1,Puerta Calle,1,Abierto,10,,PB,,,,DONER KEBAB POLLO ASADO,2,Estacional,1,Abierta,"8,64",,24/06/2015,11074731,1,346300,CALLE,GUABAIRO,NUM,8,,Acera,10:00:00,00:00:00,,,10:00:00,00:30:00,,,0,,6,,12,
2738,280055848,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,1106,BUENAVISTA,31005191,1,31000175,AVENIDA,PESETA,NUM,31,28054,"435267,59","4468465,56",1,Puerta Calle,1,Abierto,20,,PB,,,,BAR CAFETERIA DONER BEBAP,1,Anual,1,Abierta,"11,7","6,5",24/06/2015,31005191,1,31000175,AVENIDA,PESETA,NUM,31,,Acera,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:30:00,10:00:00,00:30:00,0,0,4,4,15,
2754,20001615,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,207,ATOCHA,20111956,1,874,CALLE,RETAMA,NUM,7,28045,"442588,57","4471661,5",1,Puerta Calle,1,Abierto,10,,PB,,,,ENSALADAS Y MÁS,2,Estacional,1,Abierta,"25,92",,26/06/2015,20111956,1,874,CALLE,RETAMA,NUM,7,,Acera,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,8,,32,
2755,270396099,10,Latina,http://www.wikidata.org/entity/Q794954,1003,LUCERO,11063108,1,160100,CALLE,CEBREROS,NUM,62,28011,"436495,61","4472931,56",1,Puerta Calle,1,Abierto,10,,PB,,,,BAR CERVECERIA LA FUENTE,1,Anual,1,Abierta,"23,1","23,1",26/06/2015,11063108,1,160100,CALLE,CEBREROS,NUM,62,,Acera,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:30:00,10:00:00,00:00:00,0,0,9,9,32,
