;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios;
201302;Febrero de 2013;1;Andalucía;29;Málaga;97797,51;61451,3;26477,79;5575,27;4292,14;
201302;Febrero de 2013;1;Andalucía;41;Sevilla;127350,21;73106,67;35074,06;6107,79;14051,59;
201302;Febrero de 2013;2;Aragón;22;Huesca;10137,34;7166,25;1763,24;207,75;0;
201302;Febrero de 2013;2;Aragón;44;Teruel;7216,5;5667,69;1406,39;141,42;0;
201302;Febrero de 2013;2;Aragón;50;Zaragoza;55243,71;45230,73;7719,7;1293,17;0;
201302;Febrero de 2013;3;Asturias, Principado de;33;Asturias;61592,22;47157,14;12655,62;1779,46;0;
201302;Febrero de 2013;4;Balears, Illes;7;Balears, Illes;77279,26;66945,77;19916,97;1426,52;0;
201302;Febrero de 2013;5;Canarias;35;Palmas, Las;63774,91;39769,97;17913,42;5091,51;0;
201302;Febrero de 2013;5;Canarias;37;Santa Cruz de Tenerife;57377,97;3628,46;1867,22;4030,29;0;
201302;Febrero de 2013;6;Cantabria;39;Cantabria;34246,91;27404,62;5942,07;900,21;0;
201302;Febrero de 2013;7;Castilla y León;5;Ávila;7346,59;5929,79;2079,33;337,37;0;
201302;Febrero de 2013;7;Castilla y León;9;Burgos;21736,42;17573,72;3677,77;474,72;0;
201302;Febrero de 2013;7;Castilla y León;24;León;27252,49;21202,1;5369,53;68,76;0;
201302;Febrero de 2013;7;Castilla y León;34;Palencia;7573,14;680,17;1616,61;266,35;0;
201302;Febrero de 2013;7;Castilla y León;37;Salamanca;16696,32;12164,07;3774,15;757,1;0;
201302;Febrero de 2013;7;Castilla y León;40;Segovia;7753,37;6447,79;1239,47;166;0;
201302;Febrero de 2013;7;Castilla y León;42;Soria;4920,69;4074,44;747,41;97,74;0;
201302;Febrero de 2013;7;Castilla y León;47;Valladolid;27773,77;23227,71;4697,05;747,12;0;
201302;Febrero de 2013;7;Castilla y León;49;Zamora;7496,79;6075,03;2074,92;336,74;0;
201302;Febrero de 2013;8;Castilla - La Mancha;2;Albacete;24967,27;1873,31;5500,3;1394,67;0;
201302;Febrero de 2013;8;Castilla - La Mancha;13;Ciudad Real;32262,94;23272,71;7464,39;1515,74;0;
201302;Febrero de 2013;8;Castilla - La Mancha;16;Cuenca;11441,39;7569,73;2377,5;474,16;0;
201302;Febrero de 2013;8;Castilla - La Mancha;19;Guadalajara;15764,76;12653,31;2716,94;394,51;0;
201302;Febrero de 2013;8;Castilla - La Mancha;45;Toledo;45759,44;34365,32;9690,14;183,97;0;
201302;Febrero de 2013;9;Cataluña;7;Barcelona;326447,61;255679,66;63025,07;7742,77;0;
201302;Febrero de 2013;9;Cataluña;17;Girona;45679,64;34764,33;9976,25;939,06;0;
201302;Febrero de 2013;9;Cataluña;25;Lleida;21715,91;17100,1;4122,29;493,52;0;
201302;Febrero de 2013;9;Cataluña;43;Tarragona;51267,92;37115,17;11634,79;1517,96;0;
201302;Febrero de 2013;10;Comunitat Valenciana;3;Alicante/Alacant;96677,17;63413,4;2684,75;6467,93;0;
201302;Febrero de 2013;10;Comunitat Valenciana;12;Castellón/Castelló;35601,76;25694,53;7646,15;1261,07;0;
