;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201902;Febrero de 2019;1;Andalucía;29;Málaga;66486,01;41439,42;18570,01;3080,91;3388,16
201902;Febrero de 2019;1;Andalucía;41;Sevilla;82872,76;38250,5;28327,67;4917,84;11352,92
201902;Febrero de 2019;2;Aragón;22;Huesca;5753,74;4622,54;1005,51;125,26;0
201902;Febrero de 2019;2;Aragón;44;Teruel;3369,47;2525,62;763,62;79,79;0
201902;Febrero de 2019;2;Aragón;50;Zaragoza;26274,01;20554,38;4971,24;746,83;0
201902;Febrero de 2019;3;Asturias, Principado de;33;Asturias;29354,75;21175,13;6921,84;1257,08;0
201902;Febrero de 2019;4;Balears, Illes;7;Balears, Illes;87068,35;72435,69;14072,22;560,31;0
201902;Febrero de 2019;5;Canarias;35;Palmas, Las;45652,74;31203,19;11763,25;2682,7;0
201902;Febrero de 2019;5;Canarias;38;Santa Cruz de Tenerife;39198,85;24502,51;12029,5;2660,5;0
201902;Febrero de 2019;6;Cantabria;39;Cantabria;18365,52;13423,46;4356,07;585,5;0
201902;Febrero de 2019;7;Castilla y León;5;Ávila;4560,07;2912,37;1425,07;221,63;0
201902;Febrero de 2019;7;Castilla y León;9;Burgos;10556,64;7813,39;2428,07;314,26;0
201902;Febrero de 2019;7;Castilla y León;24;León;13488,34;9490,83;3490,91;504,91;0
201902;Febrero de 2019;7;Castilla y León;34;Palencia;4592,21;3345,5;1084,64;162,07;0
201902;Febrero de 2019;7;Castilla y León;37;Salamanca;9300,54;6057,58;2793,07;448,28;0
201902;Febrero de 2019;7;Castilla y León;40;Segovia;3767,87;2844,05;814,81;108,71;0
201902;Febrero de 2019;7;Castilla y León;42;Soria;2281,69;1779,06;450,91;51,72;0
201902;Febrero de 2019;7;Castilla y León;47;Valladolid;13637,06;10311,37;2838,76;486,79;0
201902;Febrero de 2019;7;Castilla y León;49;Zamora;4941,39;3138,01;1556,26;246,6;0
201902;Febrero de 2019;8;Castilla - La Mancha;2;Albacete;13010,23;7979,16;4217,89;810,96;0
201902;Febrero de 2019;8;Castilla - La Mancha;13;Ciudad Real;16133,52;8894,75;5929,34;1304,14;0
201902;Febrero de 2019;8;Castilla - La Mancha;16;Cuenca;5158,84;3242,12;1606,67;309,5;0
201902;Febrero de 2019;8;Castilla - La Mancha;19;Guadalajara;8658,32;6496,33;1911,22;249,38;0
201902;Febrero de 2019;8;Castilla - La Mancha;45;Toledo;22072,25;13187,37;7507,14;1373,74;0
201902;Febrero de 2019;9;Cataluña;8;Barcelona;170076,71;132069,39;33795,47;4202,53;0
201902;Febrero de 2019;9;Cataluña;17;Girona;30168,27;23141,01;6374,19;647,73;0
201902;Febrero de 2019;9;Cataluña;25;Lleida;12205,02;9231,19;2590,82;379,9;0
201902;Febrero de 2019;9;Cataluña;43;Tarragona;33081,51;24796,47;7450,68;830,55;0
201902;Febrero de 2019;10;Comunitat Valenciana;3;Alicante/Alacant;64780,86;42643,65;18599,95;3525,59;0
201902;Febrero de 2019;10;Comunitat Valenciana;12;Castellón/Castelló;19068,57;13154,76;5149,68;760,21;0
201902;Febrero de 2019;10;Comunitat Valenciana;46;Valencia/Valéncia;78024,2;51813,68;21690,63;4511,47;0
201902;Febrero de 2019;11;Extremadura;6;Badajoz;33743,59;15014,28;12846,39;1620,17;4256,88
201902;Febrero de 2019;11;Extremadura;10;Cáceres;19245;9021,19;6950,33;780,25;2489,21
201902;Febrero de 2019;12;Galicia;15;Coruña, A;32891,05;23484,73;8058,98;1345,32;0
201902;Febrero de 2019;12;Galicia;27;Lugo;8420,08;5801,89;2292,08;325,12;0
201902;Febrero de 2019;12;Galicia;32;Ourense;8475,13;5324,72;2795,56;353,93;0
201902;Febrero de 2019;12;Galicia;36;Pontevedra;32307,93;22137,44;8961,92;1205,36;0
201902;Febrero de 2019;13;Madrid, Comunidad de;28;Madrid;184420,44;149263,74;29938,47;5204,46;0
201902;Febrero de 2019;14;Murcia, Región de;30;Murcia;48783,24;34735,8;11496,98;2535,7;0
201902;Febrero de 2019;15;Navarra, Comunidad Foral de;31;Navarra;17537,81;14056,34;3158,05;322,89;0
201902;Febrero de 2019;16;País Vasco;1;Araba/Álava;8782,37;7336,82;1312,55;133;0
201902;Febrero de 2019;16;País Vasco;20;Gipuzkoa;17281,87;14455,29;2573,59;252,99;0
201902;Febrero de 2019;16;País Vasco;48;Bizkaia;28143,94;22712,54;4902,24;529,16;0
201902;Febrero de 2019;17;Rioja, La;26;Rioja, La;8493,36;6582,58;1706,85;203,93;0
201902;Febrero de 2019;18;Ceuta;51;Ceuta;2287,18;1027,7;994,68;263,93;0
201902;Febrero de 2019;19;Melilla;52;Melilla;2036,98;1079,22;755,14;201,59;0
