cuenca_hidrografica,embalse_nombre,mes,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ebro,"Grado, El",1,308.2,382.0,389.5,380.75,391.0,312.8,309.6,386.5,384.75,393.25
Ebro,"Grado, El",2,312.0,381.0,390.0,374.5,390.5,386.5,363.75,389.75,382.0,390.0
Ebro,"Grado, El",3,295.0,378.25,384.25,384.0,384.8,389.5,389.75,377.0,389.6,385.0
Ebro,"Grado, El",4,301.0,381.6,389.6,384.5,386.25,388.5,388.0,366.6,382.75,369.75
Ebro,"Grado, El",5,309.8,385.0,389.5,374.5,373.2,383.6,388.6,360.0,387.5,370.25
Ebro,"Grado, El",6,310.0,386.25,389.25,368.4,359.75,366.0,392.75,353.0,397.0,375.8
Ebro,"Grado, El",7,308.4,378.4,348.4,323.25,308.75,337.0,373.8,337.6,361.75,369.25
Ebro,"Grado, El",8,275.25,360.25,338.75,329.25,271.0,313.6,343.75,306.0,315.75,347.2
Ebro,"Grado, El",9,181.75,357.0,382.8,331.6,262.0,245.25,284.0,235.5,341.2,302.25
Ebro,"Grado, El",10,154.2,357.0,393.5,348.5,227.25,215.6,287.2,172.8,368.75,278.25
Ebro,"Grado, El",11,244.75,354.0,388.75,381.0,209.4,286.0,340.0,234.0,370.0,277.0
Ebro,"Grado, El",12,363.0,377.0,387.0,390.8,209.5,296.75,381.5,374.0,388.4,338.5
Ebro,Guiamets,1,5.0,4.0,8.0,8.0,7.0,5.0,2.0,3.5,3.25,7.0
Ebro,Guiamets,2,4.75,4.0,8.0,8.0,7.0,5.0,2.0,3.0,7.0,7.0
Ebro,Guiamets,3,4.0,6.25,8.0,8.4,6.0,5.0,2.0,3.0,7.0,7.0
Ebro,Guiamets,4,4.75,7.0,8.0,9.5,6.75,5.0,2.0,3.0,8.0,6.5
Ebro,Guiamets,5,5.0,9.0,8.0,9.5,7.0,4.6,2.0,2.5,9.0,6.0
Ebro,Guiamets,6,4.0,9.0,8.0,9.0,7.0,4.25,2.0,2.0,10.0,6.0
Ebro,Guiamets,7,4.0,9.0,7.4,8.5,6.0,4.0,2.0,1.8,9.25,5.0
Ebro,Guiamets,8,3.25,8.0,7.0,8.0,5.8,3.2,1.5,1.0,9.0,4.8
Ebro,Guiamets,9,3.0,8.0,6.4,7.6,5.0,3.0,1.0,1.0,8.0,4.0
Ebro,Guiamets,10,3.2,7.0,6.0,7.5,5.0,3.0,1.4,1.2,7.75,4.0
Ebro,Guiamets,11,4.0,7.5,6.0,7.0,4.4,3.0,2.5,2.0,7.0,4.0
Ebro,Guiamets,12,4.0,8.6,7.8,7.0,4.75,2.25,4.0,2.0,7.0,4.0
Ebro,Ip,1,3.6,3.75,2.75,1.75,2.5,1.0,1.2,1.0,4.0,1.0
Ebro,Ip,2,2.5,3.5,3.25,1.0,3.0,1.0,1.0,1.0,3.0,2.5
Ebro,Ip,3,1.75,2.75,3.0,1.8,2.0,1.0,1.25,1.0,2.8,1.2
Ebro,Ip,4,1.5,3.0,3.6,1.5,3.5,1.25,1.0,1.8,2.0,1.0
Ebro,Ip,5,3.8,2.25,4.25,3.5,4.6,4.0,2.2,4.75,4.75,2.25
Ebro,Ip,6,4.5,3.5,4.75,4.6,3.75,5.0,4.5,5.0,4.4,3.0
Ebro,Ip,7,2.4,5.0,3.2,4.25,4.0,4.0,4.4,5.0,4.0,2.25
Ebro,Ip,8,1.75,5.0,2.0,3.5,2.6,3.0,3.5,4.0,3.0,1.2
Ebro,Ip,9,1.0,3.75,1.2,3.0,1.25,2.75,2.75,4.0,1.6,1.0
Ebro,Ip,10,2.0,3.6,1.5,3.0,1.0,1.8,1.8,3.8,2.25,1.0
Ebro,Ip,11,4.0,4.25,1.0,3.0,2.0,1.0,2.0,4.75,3.0,1.8
Ebro,Ip,12,4.0,2.0,2.0,2.4,1.75,1.0,1.75,4.2,2.2,1.0
Ebro,Irabia,1,10.6,9.5,12.5,9.25,8.0,7.8,11.2,7.25,7.75,10.25
Ebro,Irabia,2,7.25,8.25,13.0,11.0,11.0,11.0,11.25,11.5,5.0,11.0
Ebro,Irabia,3,8.5,11.5,13.0,11.2,11.4,10.5,11.0,11.0,9.6,9.0
Ebro,Irabia,4,8.0,11.0,12.2,12.0,11.25,9.0,11.25,10.4,8.75,5.5
Ebro,Irabia,5,9.0,13.0,12.0,9.5,8.6,5.2,12.2,12.0,11.0,6.0
Ebro,Irabia,6,9.0,12.75,10.75,4.0,6.5,7.0,12.5,12.0,8.6,6.2
Ebro,Irabia,7,8.0,10.0,11.0,1.25,8.0,8.5,8.6,9.4,7.5,6.0
Ebro,Irabia,8,8.0,8.0,7.75,1.0,9.0,10.0,8.0,10.0,8.0,6.0
Ebro,Irabia,9,8.0,8.0,8.0,3.4,8.5,10.0,8.0,9.75,7.6,6.0
Ebro,Irabia,10,8.0,6.4,8.25,4.5,6.0,8.0,4.0,5.2,10.0,6.25
Ebro,Irabia,11,8.75,10.5,4.75,3.25,6.0,8.0,3.5,9.5,9.5,5.6
Ebro,Irabia,12,9.25,12.8,9.6,8.0,7.75,8.75,7.5,11.0,9.2,11.0
Ebro,Itoiz,1,204.4,285.25,279.0,226.0,139.0,129.6,284.2,210.25,297.5,296.5
Ebro,Itoiz,2,227.25,365.25,358.5,275.0,157.25,200.25,355.75,302.75,288.25,357.75
Ebro,Itoiz,3,239.25,377.0,360.0,367.6,161.2,236.0,383.75,319.5,332.4,352.8
Ebro,Itoiz,4,250.5,379.4,361.2,346.0,192.0,264.25,388.0,321.6,355.0,333.0
Ebro,Itoiz,5,311.8,380.5,362.0,315.0,205.2,262.2,364.8,344.5,373.75,323.75
Ebro,Itoiz,6,319.25,392.0,372.5,266.8,196.0,239.75,377.75,357.5,363.4,301.6
Ebro,Itoiz,7,272.2,344.2,349.4,213.75,172.75,204.5,344.0,296.6,311.5,264.5
Ebro,Itoiz,8,201.5,266.75,287.75,168.0,136.0,155.4,289.0,240.75,262.25,212.6
Ebro,Itoiz,9,141.25,200.25,199.2,130.6,103.25,127.75,226.25,198.25,216.6,178.25
Ebro,Itoiz,10,119.2,177.4,154.5,116.0,89.5,126.0,188.2,173.0,210.25,162.75
Ebro,Itoiz,11,154.75,208.75,149.25,108.5,92.4,141.0,177.5,205.25,226.25,162.4
Ebro,Itoiz,12,207.0,242.2,184.4,127.2,114.25,175.5,186.0,298.8,265.0,279.75
Ebro,Lanuza,1,9.2,4.75,7.75,7.75,7.5,6.6,11.0,6.0,10.5,6.5
Ebro,Lanuza,2,6.25,5.5,5.25,7.75,8.25,9.0,11.5,6.5,10.25,12.75
Ebro,Lanuza,3,6.5,5.25,6.5,6.4,7.2,10.5,11.75,10.75,11.6,13.6
Ebro,Lanuza,4,5.75,7.6,6.8,5.0,6.5,9.75,10.0,8.0,11.5,12.5
Ebro,Lanuza,5,12.2,7.25,12.75,11.0,10.6,12.8,11.0,12.0,11.25,13.25
Ebro,Lanuza,6,13.5,11.75,13.25,13.8,12.5,13.75,13.75,12.25,14.4,14.8
Ebro,Lanuza,7,16.0,16.0,16.0,16.5,16.0,16.5,16.4,15.8,15.75,15.75
Ebro,Lanuza,8,9.25,14.5,14.75,14.5,13.8,15.4,14.75,13.0,14.0,12.2
Ebro,Lanuza,9,3.25,12.75,9.2,6.8,6.5,5.5,10.5,4.5,6.0,3.5
Ebro,Lanuza,10,6.4,3.6,6.0,5.75,3.5,3.4,4.0,5.2,7.25,3.5
Ebro,Lanuza,11,5.5,5.0,6.0,5.75,7.6,3.5,6.5,9.75,13.0,5.4
Ebro,Lanuza,12,4.5,4.4,10.2,5.4,8.25,4.25,6.0,10.8,10.2,6.25
Ebro,Llauset,1,10.0,9.5,14.0,7.0,14.75,4.8,9.0,11.5,9.5,7.75
Ebro,Llauset,2,6.5,10.75,15.25,11.25,10.75,7.75,6.5,12.25,12.75,14.0
Ebro,Llauset,3,10.75,7.75,14.5,12.4,10.0,7.25,8.25,11.0,13.8,10.8
Ebro,Llauset,4,9.75,11.0,10.8,10.5,13.0,5.75,9.25,8.2,13.25,6.0
Ebro,Llauset,5,10.4,11.25,9.75,14.25,12.8,7.8,10.8,9.5,13.0,5.75
Ebro,Llauset,6,12.25,15.25,14.25,15.0,13.5,13.25,13.75,12.5,12.4,8.6
Ebro,Llauset,7,15.2,15.0,16.0,15.25,14.5,14.5,15.4,14.0,13.75,10.5
Ebro,Llauset,8,11.0,15.25,15.0,15.75,14.0,13.6,13.75,14.0,11.5,9.8
Ebro,Llauset,9,9.0,13.75,12.2,15.0,7.75,12.0,7.75,13.5,8.2,4.0
Ebro,Llauset,10,11.0,13.6,10.5,14.25,5.25,12.0,7.4,12.2,10.5,8.5
Ebro,Llauset,11,14.0,13.5,11.25,12.75,5.2,8.5,9.5,10.75,13.5,8.2
Ebro,Llauset,12,14.0,9.8,11.0,12.8,5.25,5.0,11.25,13.2,11.0,7.75
Ebro,Loteta (La),1,54.6,13.25,58.0,13.0,8.0,7.2,6.0,41.0,35.5,71.75
Ebro,Loteta (La),2,53.25,16.75,57.5,13.0,6.5,7.75,6.0,40.5,37.5,75.75
Ebro,Loteta (La),3,52.25,21.5,44.25,13.0,6.0,12.0,8.0,40.0,39.6,87.2
Ebro,Loteta (La),4,51.25,35.4,26.2,13.0,5.25,17.25,13.25,40.0,48.75,93.25
Ebro,Loteta (La),5,49.6,48.5,17.0,13.0,8.6,18.0,24.6,39.0,59.25,97.25
Ebro,Loteta (La),6,47.0,60.25,15.25,12.0,9.0,14.5,32.0,38.0,67.0,97.8
Ebro,Loteta (La),7,39.8,64.0,13.6,11.75,8.5,10.5,34.8,36.8,65.5,96.25
Ebro,Loteta (La),8,29.5,62.25,13.0,11.0,8.0,6.4,36.75,35.75,63.5,93.8
Ebro,Loteta (La),9,18.75,60.5,13.0,11.0,7.5,6.5,39.5,35.0,61.4,92.5
Ebro,Loteta (La),10,11.0,59.6,13.0,10.25,7.0,6.0,40.8,34.2,60.25,91.5
Ebro,Loteta (La),11,9.5,58.25,13.0,10.5,7.0,6.0,41.0,34.0,61.5,90.2
Ebro,Loteta (La),12,9.5,58.0,13.0,10.0,7.0,6.0,41.0,34.2,63.8,90.0
Ebro,Maidevera,1,9.6,7.0,12.25,14.0,12.25,11.0,5.0,11.0,7.75,17.0
Ebro,Maidevera,2,10.0,8.0,13.5,15.5,13.0,12.0,5.25,11.5,9.25,18.0
Ebro,Maidevera,3,10.0,10.25,14.75,17.4,14.4,13.5,6.25,12.0,10.6,19.2
Ebro,Maidevera,4,10.0,13.2,15.8,19.0,16.25,13.75,8.5,12.8,14.25,20.0
Ebro,Maidevera,5,10.0,15.25,16.0,19.25,18.2,12.8,11.4,13.0,17.5,20.0
Ebro,Maidevera,6,9.25,16.5,16.0,17.8,18.75,11.75,13.25,12.0,19.4,19.6
Ebro,Maidevera,7,8.2,15.6,15.6,15.25,16.25,10.25,14.0,10.0,20.0,18.5
Ebro,Maidevera,8,7.25,12.5,12.75,13.25,13.2,6.6,12.25,7.25,19.0,15.6
Ebro,Maidevera,9,6.25,11.0,10.2,11.2,10.25,5.0,10.25,6.25,16.2,13.25
Ebro,Maidevera,10,6.0,10.8,10.0,11.0,9.0,5.0,10.0,6.0,16.0,12.5
Ebro,Maidevera,11,6.25,11.0,10.0,11.0,9.4,5.0,10.0,6.0,16.0,12.4
Ebro,Maidevera,12,7.0,11.4,12.2,12.0,10.25,5.0,10.5,6.6,16.0,13.0
Ebro,Mansilla,1,17.6,48.5,58.0,54.5,47.5,9.6,20.6,37.75,58.0,44.25
Ebro,Mansilla,2,19.25,60.25,62.0,59.25,59.0,22.5,35.25,56.25,60.25,60.5
Ebro,Mansilla,3,24.0,60.75,61.0,61.0,59.2,29.25,58.25,61.0,61.6,59.8
Ebro,Mansilla,4,30.25,61.2,62.4,61.75,61.0,31.75,60.25,62.4,62.25,58.5
Ebro,Mansilla,5,57.0,63.25,61.0,62.75,60.0,31.0,61.2,62.25,62.25,58.25
Ebro,Mansilla,6,61.0,63.25,55.75,58.8,53.5,28.75,63.5,58.75,58.8,59.4
Ebro,Mansilla,7,51.4,60.0,48.4,51.5,43.5,23.75,57.0,51.0,52.5,58.0
Ebro,Mansilla,8,38.5,52.25,37.5,42.0,30.4,14.6,46.5,40.5,44.75,47.8
Ebro,Mansilla,9,27.5,43.0,25.4,32.8,18.0,8.75,36.0,32.25,34.2,37.0
Ebro,Mansilla,10,17.6,35.8,21.5,27.0,11.5,6.2,27.8,27.2,30.5,30.75
Ebro,Mansilla,11,16.75,34.25,28.25,25.5,8.8,5.0,25.5,31.0,32.25,28.8
Ebro,Mansilla,12,26.0,37.0,48.4,24.4,10.0,8.0,31.75,56.6,35.2,38.25
Ebro,Mediano,1,128.8,224.5,289.5,340.75,190.5,306.6,126.2,269.25,314.0,190.25
Ebro,Mediano,2,117.25,294.75,355.25,345.5,244.75,316.75,118.0,278.75,340.0,260.25
Ebro,Mediano,3,116.0,350.25,388.75,359.2,317.4,378.5,231.5,293.75,343.6,343.8
Ebro,Mediano,4,122.75,392.0,385.2,367.0,379.25,379.5,366.25,269.6,384.5,328.75
Ebro,Mediano,5,224.0,394.25,384.25,369.25,404.2,381.4,399.4,331.75,424.5,361.25
Ebro,Mediano,6,256.5,393.25,405.25,342.6,392.5,405.5,420.0,318.25,431.2,356.0
Ebro,Mediano,7,186.2,414.2,372.2,298.5,353.75,341.0,390.2,223.2,407.0,277.5
Ebro,Mediano,8,85.5,356.75,246.25,189.75,233.8,200.4,295.0,100.5,315.25,129.4
Ebro,Mediano,9,77.75,256.25,118.0,138.8,92.5,137.5,275.5,76.0,128.2,76.75
Ebro,Mediano,10,147.4,223.8,155.75,141.25,82.75,144.8,253.0,107.8,95.75,94.5
Ebro,Mediano,11,250.0,237.0,211.75,162.5,231.8,93.25,272.5,172.75,169.5,134.2
Ebro,Mediano,12,180.25,225.8,351.4,164.6,405.75,94.0,271.75,182.8,177.6,115.0
Ebro,Mequinenza,1,891.8,1338.5,1313.5,1238.0,1171.25,1072.4,1175.6,851.25,1392.0,1096.75
Ebro,Mequinenza,2,1050.5,1429.5,1445.5,1351.25,1256.5,1244.25,1332.5,1308.75,1409.75,1423.75
Ebro,Mequinenza,3,1162.25,1408.75,1398.0,1415.6,1349.8,1219.25,1297.0,1091.75,1317.2,1310.8
Ebro,Mequinenza,4,1148.5,1390.8,1399.4,1335.75,1385.25,1267.0,1363.25,1000.6,1414.75,1190.75
Ebro,Mequinenza,5,1382.6,1453.75,1302.25,1351.0,1369.4,1189.6,1348.0,1131.25,1431.0,1199.75
Ebro,Mequinenza,6,1318.0,1435.0,1466.5,1327.0,1410.75,1132.5,1467.5,1198.0,1475.2,1238.0
Ebro,Mequinenza,7,1099.4,1384.4,1463.2,1194.25,1353.25,1051.75,1430.2,1105.4,1406.25,1225.0
Ebro,Mequinenza,8,858.0,1319.0,1238.0,1152.75,1220.4,859.4,1287.0,964.25,1320.0,1052.0
Ebro,Mequinenza,9,635.5,1334.25,1232.8,1194.4,1094.5,750.25,1190.0,879.0,1255.2,1008.0
Ebro,Mequinenza,10,560.2,1253.4,1260.0,1184.75,1014.75,697.6,1142.6,796.6,1179.25,967.75
Ebro,Mequinenza,11,939.5,1244.75,1172.75,1170.75,996.2,649.5,1169.5,1019.5,930.5,843.6
Ebro,Mequinenza,12,1257.0,1259.8,1259.8,1131.6,1119.75,727.75,1052.75,1379.6,969.0,1167.75
Ebro,Moneva,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0
Ebro,Moneva,2,1.0,1.0,1.25,1.0,2.0,1.0,1.0,2.0,5.0,7.0
Ebro,Moneva,3,1.0,1.0,2.0,1.2,2.0,1.0,1.0,3.0,5.0,7.0
Ebro,Moneva,4,1.0,1.8,2.0,2.75,2.0,1.0,0.25,3.0,5.0,6.25
Ebro,Moneva,5,1.0,2.75,1.5,3.0,2.0,1.0,0.0,3.0,6.0,7.0
Ebro,Moneva,6,1.0,3.0,1.0,2.0,1.5,1.0,1.0,3.0,6.2,7.0
Ebro,Moneva,7,1.0,2.6,1.0,2.0,1.0,1.0,1.0,2.4,7.0,6.75
Ebro,Moneva,8,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,6.75,5.8
Ebro,Moneva,9,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,5.0
Ebro,Moneva,10,1.0,1.0,1.0,1.0,1.0,1.0,1.4,2.0,6.0,5.0
Ebro,Moneva,11,1.0,1.0,1.0,1.75,1.0,1.0,2.0,2.0,6.0,5.8
Ebro,Moneva,12,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,6.0
Ebro,Monteagudo,1,4.0,2.0,3.0,4.0,5.75,6.0,5.0,5.0,4.0,4.25
Ebro,Monteagudo,2,4.0,2.0,3.25,4.0,6.0,6.0,5.0,5.0,4.0,5.0
Ebro,Monteagudo,3,4.0,2.0,4.0,4.8,6.0,6.0,5.0,5.0,4.0,5.0
Ebro,Monteagudo,4,4.0,2.6,4.0,5.0,6.75,6.0,5.0,5.0,4.25,5.25
Ebro,Monteagudo,5,4.0,3.0,4.0,5.0,5.6,5.4,5.0,5.0,5.0,6.0
Ebro,Monteagudo,6,3.0,3.0,4.0,5.0,6.75,5.0,5.0,4.25,5.0,6.0
Ebro,Monteagudo,7,3.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0
Ebro,Monteagudo,8,2.25,3.0,4.0,5.0,6.0,5.0,5.0,4.0,4.75,5.8
Ebro,Monteagudo,9,2.0,2.75,3.2,4.0,6.0,5.0,5.0,4.0,4.0,5.0
Ebro,Monteagudo,10,2.0,2.8,3.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0
Ebro,Monteagudo,11,2.0,3.0,3.5,5.0,6.0,5.0,5.0,4.0,4.0,5.2
Ebro,Monteagudo,12,2.0,3.0,4.0,5.2,6.0,5.0,5.0,4.0,4.0,6.0
Ebro,Oliana,1,47.8,52.25,57.25,60.25,40.25,41.0,45.4,63.75,66.75,44.0
Ebro,Oliana,2,40.0,51.25,51.0,59.0,42.25,59.5,57.25,59.5,65.5,47.25
Ebro,Oliana,3,41.25,63.0,34.0,61.2,48.6,65.5,62.75,49.75,64.6,48.4
Ebro,Oliana,4,65.75,67.8,50.2,66.0,52.25,55.25,63.75,51.4,49.0,53.0
Ebro,Oliana,5,76.4,75.75,67.75,74.75,55.6,61.4,74.0,63.5,73.5,61.5
Ebro,Oliana,6,68.75,78.0,78.75,76.4,71.5,82.0,72.25,81.0,75.4,76.6
Ebro,Oliana,7,63.2,78.6,76.4,67.0,69.75,73.25,77.6,75.6,69.75,71.0
Ebro,Oliana,8,51.5,73.75,73.25,68.0,45.8,50.6,75.5,61.0,59.75,54.4
Ebro,Oliana,9,42.0,72.5,71.8,58.4,35.5,39.75,65.25,49.0,58.4,40.75
Ebro,Oliana,10,42.4,67.4,68.25,46.5,35.75,38.4,60.0,46.2,51.5,41.5
Ebro,Oliana,11,56.25,70.25,69.25,53.75,49.6,38.75,63.5,60.5,51.25,37.8
Ebro,Oliana,12,52.0,65.0,69.4,41.4,53.5,38.0,59.75,70.2,43.4,39.5
Ebro,Pajares,1,11.0,13.25,25.75,24.0,10.0,8.0,7.6,14.0,16.0,13.25
Ebro,Pajares,2,11.0,19.0,31.25,27.5,12.75,13.25,10.75,16.75,17.75,18.75
Ebro,Pajares,3,14.25,28.5,34.75,34.2,17.2,17.5,24.5,19.25,20.0,21.8
Ebro,Pajares,4,18.0,34.6,35.0,34.0,26.75,18.5,33.5,20.8,27.25,22.0
Ebro,Pajares,5,22.4,34.75,34.0,33.25,34.0,14.8,35.0,26.0,33.5,24.75
Ebro,Pajares,6,21.5,35.0,33.25,29.8,33.75,14.25,35.0,25.25,33.4,25.6
Ebro,Pajares,7,18.0,34.2,29.0,24.5,27.25,11.0,33.6,19.4,29.0,23.5
Ebro,Pajares,8,13.75,28.0,19.0,14.5,15.6,9.6,25.0,11.75,19.25,15.4
Ebro,Pajares,9,12.0,21.75,15.2,10.8,12.5,8.5,17.75,10.25,15.8,12.75
Ebro,Pajares,10,10.4,20.0,13.5,9.75,11.5,7.4,15.4,9.0,14.25,11.25
Ebro,Pajares,11,10.0,19.0,13.0,9.0,10.0,6.25,14.5,8.25,14.0,8.6
Ebro,Pajares,12,10.75,19.6,20.2,9.0,9.0,6.25,14.5,12.2,13.8,10.25
Ebro,Pena,1,11.0,5.0,12.0,14.0,15.0,11.2,10.0,13.0,9.0,16.0
Ebro,Pena,2,11.0,4.25,12.0,15.0,15.0,13.0,10.0,13.0,16.75,16.0
Ebro,Pena,3,11.0,8.5,12.0,15.8,15.0,13.0,10.0,12.75,17.0,16.0
Ebro,Pena,4,11.0,10.0,12.8,17.0,15.0,13.0,10.0,12.0,17.0,16.0
Ebro,Pena,5,10.8,12.0,12.75,16.75,15.0,13.0,10.0,12.0,17.0,16.0
Ebro,Pena,6,10.0,12.25,12.0,16.0,15.0,13.0,10.0,12.0,17.0,16.0
Ebro,Pena,7,7.8,13.0,11.6,16.0,14.25,12.5,10.0,11.2,17.0,15.75
Ebro,Pena,8,5.75,13.0,11.0,16.0,12.6,11.6,9.25,9.5,17.0,14.6
Ebro,Pena,9,4.25,12.5,10.0,15.0,11.0,10.0,9.0,9.0,16.0,14.0
Ebro,Pena,10,4.0,12.0,10.0,15.0,11.0,10.0,9.8,8.2,16.0,13.0
Ebro,Pena,11,4.25,12.0,10.0,15.0,10.6,10.0,11.75,8.0,16.0,13.0
Ebro,Pena,12,5.0,12.0,13.8,15.0,11.0,10.0,13.0,8.8,16.0,13.0
Ebro,"Peña, La",1,7.0,11.75,14.5,9.0,11.0,10.2,11.0,10.75,14.0,12.5
Ebro,"Peña, La",2,8.25,11.5,14.25,9.75,12.75,13.25,11.0,11.5,15.0,14.75
Ebro,"Peña, La",3,7.75,11.75,14.75,13.2,15.0,14.0,14.25,10.5,14.8,14.0
Ebro,"Peña, La",4,11.5,12.8,14.6,13.25,15.0,13.5,14.75,11.0,15.0,13.75
Ebro,"Peña, La",5,11.2,13.0,14.5,10.75,15.0,13.8,15.0,14.75,15.0,14.75
Ebro,"Peña, La",6,10.75,14.0,14.25,9.8,12.25,12.5,15.0,14.0,14.6,13.4
Ebro,"Peña, La",7,9.2,13.2,14.4,8.5,11.0,12.75,14.0,13.0,13.25,10.75
Ebro,"Peña, La",8,6.0,11.25,13.0,10.5,9.8,10.0,10.25,12.5,12.75,12.2
Ebro,"Peña, La",9,4.0,11.75,10.0,8.8,6.5,8.5,9.5,10.5,13.0,9.25
Ebro,"Peña, La",10,7.8,10.2,12.0,9.5,5.0,6.8,9.4,7.4,12.5,6.0
Ebro,"Peña, La",11,10.5,7.75,10.5,10.25,10.2,7.0,11.0,14.5,13.75,8.8
Ebro,"Peña, La",12,10.25,9.0,11.4,9.8,9.75,8.5,11.0,15.0,12.6,11.5
Ebro,Rialb,1,256.4,205.75,321.25,328.25,292.75,270.2,189.6,270.75,327.25,298.25
Ebro,Rialb,2,261.25,228.25,338.25,319.5,285.75,283.75,197.0,286.75,358.75,310.0
Ebro,Rialb,3,248.25,256.75,326.75,328.6,284.2,335.5,254.0,306.5,361.0,342.4
Ebro,Rialb,4,231.5,311.2,333.6,333.5,287.0,373.5,328.25,273.0,366.25,320.0
Ebro,Rialb,5,276.0,369.25,394.0,361.75,338.2,377.2,378.0,284.0,383.5,325.0
Ebro,Rialb,6,339.5,381.25,393.5,373.6,345.25,369.75,393.75,284.75,397.6,305.6
Ebro,Rialb,7,291.8,395.0,394.4,354.0,305.0,342.25,384.6,240.0,371.75,271.5
Ebro,Rialb,8,220.75,373.0,357.5,303.0,250.8,287.8,342.25,176.75,321.5,209.0
Ebro,Rialb,9,165.0,342.75,330.0,271.2,194.0,224.5,313.25,130.5,255.4,156.75
Ebro,Rialb,10,143.6,316.2,297.5,268.25,184.0,200.2,316.0,113.8,268.75,139.5
Ebro,Rialb,11,163.0,294.25,259.5,292.0,189.6,200.0,353.75,160.75,299.75,144.8
Ebro,Rialb,12,189.75,306.6,325.2,296.0,243.75,194.75,311.5,226.8,309.4,150.75
Ebro,Ribarroja,1,202.4,198.5,202.25,204.75,200.75,203.8,202.2,201.25,196.5,199.0
Ebro,Ribarroja,2,200.75,198.0,201.75,201.25,203.0,206.25,199.25,203.0,197.75,198.25
Ebro,Ribarroja,3,202.0,196.0,204.0,202.6,202.0,200.0,201.5,201.0,197.4,199.6
Ebro,Ribarroja,4,202.75,202.6,201.8,202.5,204.0,202.75,199.0,202.2,191.25,202.0
Ebro,Ribarroja,5,202.4,202.0,203.0,203.25,202.2,201.0,195.8,202.5,194.75,201.0
Ebro,Ribarroja,6,203.25,203.0,202.75,204.0,201.5,199.75,203.25,202.75,200.0,201.2
Ebro,Ribarroja,7,199.2,204.6,201.0,202.0,202.0,199.75,200.4,201.0,205.0,202.25
Ebro,Ribarroja,8,199.0,205.5,205.25,204.0,203.4,202.4,207.0,202.25,204.25,198.8
Ebro,Ribarroja,9,200.25,200.0,203.8,202.8,202.75,201.25,205.0,201.75,203.8,200.0
Ebro,Ribarroja,10,199.4,205.6,202.0,203.75,200.0,200.8,202.0,197.4,199.25,196.0
Ebro,Ribarroja,11,200.75,202.0,202.25,201.25,202.4,199.75,201.75,202.75,203.5,200.4
Ebro,Ribarroja,12,196.0,198.4,203.6,203.0,201.5,201.75,202.0,201.2,200.6,192.0
Ebro,Sallente,1,1.8,3.25,2.0,3.5,1.75,3.2,1.0,1.25,4.0,3.0
Ebro,Sallente,2,1.25,1.5,2.5,2.25,1.75,1.75,0.25,1.25,1.25,2.75
Ebro,Sallente,3,1.5,1.5,1.75,2.4,1.8,2.0,0.5,1.5,1.4,2.6
Ebro,Sallente,4,1.0,1.4,2.0,2.25,1.5,1.5,0.5,1.4,3.25,2.0
Ebro,Sallente,5,2.6,1.5,1.75,3.25,2.6,1.2,2.0,0.75,3.5,2.0
Ebro,Sallente,6,2.25,0.75,1.5,2.6,1.5,1.0,3.5,1.25,2.2,1.8
Ebro,Sallente,7,3.0,2.0,2.4,1.75,2.25,1.5,4.4,1.2,0.75,1.75
Ebro,Sallente,8,2.0,1.0,1.75,2.0,2.8,3.0,5.0,0.5,0.75,1.8
Ebro,Sallente,9,1.5,1.25,2.0,1.0,1.25,0.75,4.0,1.75,1.0,1.5
Ebro,Sallente,10,0.8,0.8,1.5,1.0,1.75,2.0,3.6,0.2,1.5,1.0
Ebro,Sallente,11,3.25,3.5,2.25,2.25,1.8,3.75,4.0,1.5,2.25,1.4
Ebro,Sallente,12,3.5,2.8,3.6,1.8,2.0,3.5,3.0,1.8,4.0,1.5
Ebro,San Bartolomé,1,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.0,3.0,3.0
Ebro,San Bartolomé,2,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.0,3.0,3.0
Ebro,San Bartolomé,3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0
Ebro,San Bartolomé,4,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.0,3.0,3.0
Ebro,San Bartolomé,5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.25,3.0
Ebro,San Bartolomé,6,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.0,3.0,3.0
Ebro,San Bartolomé,7,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.0,3.0,3.0
Ebro,San Bartolomé,8,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.6
Ebro,San Bartolomé,9,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.0,3.0,2.0
Ebro,San Bartolomé,10,1.0,1.0,1.0,1.0,1.0,3.0,2.6,3.0,3.0,2.0
