cuenca_hidrografica,embalse_nombre,mes,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cantábrico Occidental,"Barca, La",10,16.8,23.6,26.25,24.25,24.75,22.4,27.8,28.6,23.75,26.0
Cantábrico Occidental,"Barca, La",11,16.25,23.5,20.5,21.5,18.8,21.75,21.0,26.25,22.5,22.4
Cantábrico Occidental,"Barca, La",12,16.25,19.6,17.8,16.6,16.5,15.25,18.75,20.0,17.8,19.25
Cantábrico Occidental,"Cohilla, La",1,3.2,5.75,7.0,2.0,3.5,2.2,6.6,3.25,6.0,4.5
Cantábrico Occidental,"Cohilla, La",2,8.25,9.25,7.75,4.5,5.0,5.25,8.25,7.25,5.0,10.25
Cantábrico Occidental,"Cohilla, La",3,7.5,10.0,7.0,11.6,8.2,5.0,10.0,5.25,5.6,7.6
Cantábrico Occidental,"Cohilla, La",4,10.0,11.2,8.4,6.75,12.0,4.75,10.0,6.4,8.5,7.0
Cantábrico Occidental,"Cohilla, La",5,10.4,10.75,4.75,9.25,3.2,4.4,9.0,6.5,8.0,4.5
Cantábrico Occidental,"Cohilla, La",6,5.75,8.25,3.75,4.6,3.25,4.0,9.75,4.0,7.4,3.4
Cantábrico Occidental,"Cohilla, La",7,2.8,5.8,2.2,2.5,5.25,2.25,4.4,1.8,2.0,3.5
Cantábrico Occidental,"Cohilla, La",8,2.0,2.75,2.5,2.0,2.8,1.6,3.75,1.25,2.0,2.0
Cantábrico Occidental,"Cohilla, La",9,1.25,3.0,2.6,2.8,3.75,2.5,3.75,3.5,2.0,2.0
Cantábrico Occidental,"Cohilla, La",10,3.6,2.2,2.0,3.25,1.75,1.6,2.0,5.4,3.0,1.0
Cantábrico Occidental,"Cohilla, La",11,5.0,3.75,2.0,3.5,1.6,2.75,4.75,8.25,3.0,3.6
Cantábrico Occidental,"Cohilla, La",12,5.5,9.0,2.0,4.0,2.5,7.0,2.75,9.6,4.0,10.25
Cantábrico Occidental,Doiras,1,99.0,102.0,108.75,97.25,105.5,67.8,84.0,77.25,79.5,79.0
Cantábrico Occidental,Doiras,2,99.5,112.0,112.5,112.0,109.5,73.25,88.75,82.5,87.25,86.75
Cantábrico Occidental,Doiras,3,96.0,111.5,107.75,108.4,111.2,77.0,85.25,84.0,84.8,87.2
Cantábrico Occidental,Doiras,4,101.5,111.2,103.8,101.0,107.0,74.5,84.0,89.0,87.25,87.75
Cantábrico Occidental,Doiras,5,109.4,111.0,104.5,100.0,100.4,76.8,83.0,88.5,87.25,87.25
Cantábrico Occidental,Doiras,6,108.75,106.75,105.25,96.4,98.5,79.75,88.25,88.5,87.8,87.0
Cantábrico Occidental,Doiras,7,104.2,105.6,109.6,98.5,98.25,74.5,87.2,90.2,87.75,86.25
Cantábrico Occidental,Doiras,8,97.5,105.25,111.5,92.5,101.0,83.2,86.25,89.5,83.5,82.4
Cantábrico Occidental,Doiras,9,81.5,100.25,110.6,79.4,95.75,77.0,80.75,88.25,80.4,75.0
Cantábrico Occidental,Doiras,10,83.2,97.2,98.25,81.25,75.5,66.8,77.0,84.8,80.5,71.25
Cantábrico Occidental,Doiras,11,92.25,101.5,98.5,90.5,71.6,68.0,80.75,87.5,83.0,76.8
Cantábrico Occidental,Doiras,12,97.0,105.2,97.0,87.8,72.25,82.25,83.0,85.6,81.2,82.75
